time,WS
01/01/2018 00:00,1.422
01/01/2018 00:10,1.008
01/01/2018 00:20,1.565
01/01/2018 00:30,2.175
01/01/2018 00:40,1.902
01/01/2018 00:50,1.468
01/01/2018 01:00,1.368
01/01/2018 01:10,1.122
01/01/2018 01:20,0.332
01/01/2018 01:30,1.428
01/01/2018 01:40,0.643
01/01/2018 01:50,1.49
01/01/2018 02:00,1.673
01/01/2018 02:10,1.988
01/01/2018 02:20,2.817
01/01/2018 02:30,2.938
01/01/2018 02:40,3.003
01/01/2018 02:50,2.845
01/01/2018 03:00,2.87
01/01/2018 03:10,1.46
01/01/2018 03:20,1.498
01/01/2018 03:30,2.283
01/01/2018 03:40,2.05
01/01/2018 03:50,2.83
01/01/2018 04:00,3.183
01/01/2018 04:10,3.777
01/01/2018 04:20,3.3
01/01/2018 04:30,1.562
01/01/2018 04:40,2.423
01/01/2018 04:50,2.227
01/01/2018 05:00,1.263
01/01/2018 05:10,1.308
01/01/2018 05:20,1.42
01/01/2018 05:30,1.457
01/01/2018 05:40,1.317
01/01/2018 05:50,2.227
01/01/2018 06:00,1.97
01/01/2018 06:10,2.278
01/01/2018 06:20,3.127
01/01/2018 06:30,2.26
01/01/2018 06:40,2.462
01/01/2018 06:50,1.763
01/01/2018 07:00,1.215
01/01/2018 07:10,1.512
01/01/2018 07:20,1.527
01/01/2018 07:30,1.043
01/01/2018 07:40,1.432
01/01/2018 07:50,1.078
01/01/2018 08:00,2.103
01/01/2018 08:10,2.042
01/01/2018 08:20,1.032
01/01/2018 08:30,1.225
01/01/2018 08:40,0.522
01/01/2018 08:50,0.168
01/01/2018 09:00,0.723
01/01/2018 09:10,0.842
01/01/2018 09:20,1.198
01/01/2018 09:30,0.947
01/01/2018 09:40,1.457
01/01/2018 09:50,2.448
01/01/2018 10:00,1.705
01/01/2018 10:10,2.348
01/01/2018 10:20,1.807
01/01/2018 10:30,3.068
01/01/2018 10:40,1.608
01/01/2018 10:50,1.842
01/01/2018 11:00,2.053
01/01/2018 11:10,1.987
01/01/2018 11:20,1.678
01/01/2018 11:30,2.677
01/01/2018 11:40,2.382
01/01/2018 11:50,1.752
01/01/2018 12:00,2.393
01/01/2018 12:10,0.598
01/01/2018 12:20,1.363
01/01/2018 12:30,1.14
01/01/2018 12:40,1.298
01/01/2018 12:50,2.597
01/01/2018 13:00,1.868
01/01/2018 13:10,1.313
01/01/2018 13:20,2.497
01/01/2018 13:30,1.728
01/01/2018 13:40,1.17
01/01/2018 13:50,0.855
01/01/2018 14:00,1.15
01/01/2018 14:10,2.36
01/01/2018 14:20,2.003
01/01/2018 14:30,2.437
01/01/2018 14:40,1.4
01/01/2018 14:50,2.028
01/01/2018 15:00,2.538
01/01/2018 15:10,1.94
01/01/2018 15:20,1.942
01/01/2018 15:30,2.39
01/01/2018 15:40,1.27
01/01/2018 15:50,1.207
01/01/2018 16:00,2.217
01/01/2018 16:10,1.765
01/01/2018 16:20,2.777
01/01/2018 16:30,2.178
01/01/2018 16:40,2.658
01/01/2018 16:50,2.597
01/01/2018 17:00,2.705
01/01/2018 17:10,2.218
01/01/2018 17:20,1.743
01/01/2018 17:30,2.588
01/01/2018 17:40,1.858
01/01/2018 17:50,1.87
01/01/2018 18:00,1.982
01/01/2018 18:10,1.983
01/01/2018 18:20,2.505
01/01/2018 18:30,2.383
01/01/2018 18:40,2.193
01/01/2018 18:50,3.3
01/01/2018 19:00,3.632
01/01/2018 19:10,2.595
01/01/2018 19:20,2.545
01/01/2018 19:30,2.137
01/01/2018 19:40,1.167
01/01/2018 19:50,0.963
01/01/2018 20:00,0.797
01/01/2018 20:10,0.735
01/01/2018 20:20,0.888
01/01/2018 20:30,3.945
01/01/2018 20:40,1.357
01/01/2018 20:50,2.108
01/01/2018 21:00,1.258
01/01/2018 21:10,2.35
01/01/2018 21:20,2.303
01/01/2018 21:30,1.852
01/01/2018 21:40,1.162
01/01/2018 21:50,1.177
01/01/2018 22:00,0.803
01/01/2018 22:10,1.472
01/01/2018 22:20,2.753
01/01/2018 22:30,1.035
01/01/2018 22:40,0.323
01/01/2018 22:50,0.963
01/01/2018 23:00,1.055
01/01/2018 23:10,2.393
01/01/2018 23:20,3.087
01/01/2018 23:30,3.115
01/01/2018 23:40,2.763
01/01/2018 23:50,3.603
02/01/2018 00:00,3.625
02/01/2018 00:10,2.193
02/01/2018 00:20,2.112
02/01/2018 00:30,2.498
02/01/2018 00:40,2.857
02/01/2018 00:50,2.275
02/01/2018 01:00,1.888
02/01/2018 01:10,1.875
02/01/2018 01:20,2.115
02/01/2018 01:30,1.788
02/01/2018 01:40,2.057
02/01/2018 01:50,0.663
02/01/2018 02:00,1.702
02/01/2018 02:10,2.003
02/01/2018 02:20,2.202
02/01/2018 02:30,2.082
02/01/2018 02:40,2.4
02/01/2018 02:50,2.307
02/01/2018 03:00,2.812
02/01/2018 03:10,1.907
02/01/2018 03:20,2.593
02/01/2018 03:30,3.665
02/01/2018 03:40,3.19
02/01/2018 03:50,2.838
02/01/2018 04:00,2.79
02/01/2018 04:10,2.36
02/01/2018 04:20,2.418
02/01/2018 04:30,3.078
02/01/2018 04:40,2.735
02/01/2018 04:50,2.095
02/01/2018 05:00,1.898
02/01/2018 05:10,1.502
02/01/2018 05:20,1.617
02/01/2018 05:30,1.525
02/01/2018 05:40,1.85
02/01/2018 05:50,2.073
02/01/2018 06:00,2.943
02/01/2018 06:10,2.532
02/01/2018 06:20,2.458
02/01/2018 06:30,3.428
02/01/2018 06:40,2.985
02/01/2018 06:50,3.27
02/01/2018 07:00,3.143
02/01/2018 07:10,2.843
02/01/2018 07:20,1.753
02/01/2018 07:30,1.76
02/01/2018 07:40,1.177
02/01/2018 07:50,2.082
02/01/2018 08:00,1.738
02/01/2018 08:10,1.505
02/01/2018 08:20,1.135
02/01/2018 08:30,0.377
02/01/2018 08:40,0.152
02/01/2018 08:50,1.225
02/01/2018 09:00,1.007
02/01/2018 09:10,1.777
02/01/2018 09:20,1.85
02/01/2018 09:30,2.762
02/01/2018 09:40,2.21
02/01/2018 09:50,2.395
02/01/2018 10:00,2.942
02/01/2018 10:10,2.43
02/01/2018 10:20,1.998
02/01/2018 10:30,1.868
02/01/2018 10:40,2.012
02/01/2018 10:50,1.68
02/01/2018 11:00,1.615
02/01/2018 11:10,0.737
02/01/2018 11:20,0.665
02/01/2018 11:30,1.27
02/01/2018 11:40,2.993
02/01/2018 11:50,0.86
02/01/2018 12:00,2.757
02/01/2018 12:10,1.815
02/01/2018 12:20,1.737
02/01/2018 12:30,1.217
02/01/2018 12:40,1.957
02/01/2018 12:50,2.705
02/01/2018 13:00,1.943
02/01/2018 13:10,1.985
02/01/2018 13:20,1.415
02/01/2018 13:30,1.317
02/01/2018 13:40,2.537
02/01/2018 13:50,1.607
02/01/2018 14:00,1.545
02/01/2018 14:10,1.3
02/01/2018 14:20,1.258
02/01/2018 14:30,0.79
02/01/2018 14:40,2.31
02/01/2018 14:50,2.292
02/01/2018 15:00,1.903
02/01/2018 15:10,0.833
02/01/2018 15:20,1.145
02/01/2018 15:30,2.308
02/01/2018 15:40,1.407
02/01/2018 15:50,3.01
02/01/2018 16:00,1.708
02/01/2018 16:10,0.89
02/01/2018 16:20,1.052
02/01/2018 16:30,1.137
02/01/2018 16:40,0.877
02/01/2018 16:50,1.308
02/01/2018 17:00,1.968
02/01/2018 17:10,1.178
02/01/2018 17:20,1.353
02/01/2018 17:30,2.032
02/01/2018 17:40,2.333
02/01/2018 17:50,2.667
02/01/2018 18:00,2.575
02/01/2018 18:10,2.238
02/01/2018 18:20,2.457
02/01/2018 18:30,1.445
02/01/2018 18:40,1.62
02/01/2018 18:50,2.257
02/01/2018 19:00,2.8
02/01/2018 19:10,3.512
02/01/2018 19:20,4.425
02/01/2018 19:30,3.68
02/01/2018 19:40,3.142
02/01/2018 19:50,3.288
02/01/2018 20:00,2.89
02/01/2018 20:10,2.173
02/01/2018 20:20,2.05
02/01/2018 20:30,1.53
02/01/2018 20:40,1.487
02/01/2018 20:50,1.495
02/01/2018 21:00,0.872
02/01/2018 21:10,1.067
02/01/2018 21:20,2.15
02/01/2018 21:30,1.052
02/01/2018 21:40,0.958
02/01/2018 21:50,0.853
02/01/2018 22:00,0.768
02/01/2018 22:10,0.49
02/01/2018 22:20,1.517
02/01/2018 22:30,2.422
02/01/2018 22:40,2.715
02/01/2018 22:50,3.835
02/01/2018 23:00,3.083
02/01/2018 23:10,2.14
02/01/2018 23:20,1.848
02/01/2018 23:30,1.385
02/01/2018 23:40,1.2
02/01/2018 23:50,2.057
03/01/2018 00:00,1.262
03/01/2018 00:10,2.207
03/01/2018 00:20,1.897
03/01/2018 00:30,2.637
03/01/2018 00:40,1.773
03/01/2018 00:50,2.623
03/01/2018 01:00,2.405
03/01/2018 01:10,3.035
03/01/2018 01:20,3.03
03/01/2018 01:30,3.078
03/01/2018 01:40,2.905
03/01/2018 01:50,3.088
03/01/2018 02:00,2.353
03/01/2018 02:10,3.793
03/01/2018 02:20,3.105
03/01/2018 02:30,2.593
03/01/2018 02:40,2.167
03/01/2018 02:50,2.37
03/01/2018 03:00,2.035
03/01/2018 03:10,1.723
03/01/2018 03:20,2.313
03/01/2018 03:30,2.582
03/01/2018 03:40,1.535
03/01/2018 03:50,1.263
03/01/2018 04:00,1.353
03/01/2018 04:10,1.52
03/01/2018 04:20,1.58
03/01/2018 04:30,2.1
03/01/2018 04:40,1.792
03/01/2018 04:50,2.093
03/01/2018 05:00,1.848
03/01/2018 05:10,1.423
03/01/2018 05:20,1.787
03/01/2018 05:30,1.84
03/01/2018 05:40,1.507
03/01/2018 05:50,1.928
03/01/2018 06:00,1.595
03/01/2018 06:10,1.872
03/01/2018 06:20,1.553
03/01/2018 06:30,1.81
03/01/2018 06:40,2.742
03/01/2018 06:50,1.958
03/01/2018 07:00,2.632
03/01/2018 07:10,2.193
03/01/2018 07:20,2.437
03/01/2018 07:30,2.365
03/01/2018 07:40,1.29
03/01/2018 07:50,2.02
03/01/2018 08:00,1.577
03/01/2018 08:10,1.522
03/01/2018 08:20,0.802
03/01/2018 08:30,0.38
03/01/2018 08:40,0.673
03/01/2018 08:50,0.555
03/01/2018 09:00,0.212
03/01/2018 09:10,0.903
03/01/2018 09:20,1.222
03/01/2018 09:30,1.555
03/01/2018 09:40,1.662
03/01/2018 09:50,1.657
03/01/2018 10:00,1.932
03/01/2018 10:10,1.882
03/01/2018 10:20,1.682
03/01/2018 10:30,1.412
03/01/2018 10:40,2.03
03/01/2018 10:50,1.168
03/01/2018 11:00,2.427
03/01/2018 11:10,1.363
03/01/2018 11:20,2.528
03/01/2018 11:30,1.89
03/01/2018 11:40,0.353
03/01/2018 11:50,2.147
03/01/2018 12:00,1.69
03/01/2018 12:10,2.587
03/01/2018 12:20,1.213
03/01/2018 12:30,1.79
03/01/2018 12:40,3.022
03/01/2018 12:50,1.993
03/01/2018 13:00,1.277
03/01/2018 13:10,1.798
03/01/2018 13:20,1.597
03/01/2018 13:30,0.898
