"Centro Nacional de Control de Energia"
"Estadistica de la Energia Generada Liquidada Agregada (MWh) Intermitente y Firme por Tipo de Tecnologia"
"Sistema Electrico Nacional"
"Dias de Operacion del Mes de: abril 2019"
"Proceso de Liquidacion: Re-Liquidacion Intermedia (L2) "
"Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 20/ago/2019 05:10:01 hrs."
"Nota: Los acentos de este reporte se omiten intencionalmente por sistema."
"Sistema"," Dia"," Hora"," Eolica"," Fotovoltaica","  Biomasa"," Carboelectrica"," Ciclo Combinado"," Combustion Interna"," Geotermoelectrica"," Hidroelectrica"," Nucleoelectrica"," Termica Convencional"," Turbo Gas"
"SEN","01/04/2019","1","2858.1375","0.0721","26.1256","1329.4545","17585.7812","368.9823","611.4585","971.0699","1426.9885","3294.8946","1339.7415"
"SEN","01/04/2019","2","2723.5695","0.0723","25.4789","1342.0109","17190.6135","371.6713","624.1991","892.6832","1426.428","3165.2762","1146.6616"
"SEN","01/04/2019","3","2563.2673","0.0725","24.5062","1392.8669","16888.6303","369.5208","625.327","854.8151","1425.5902","3112.7383","990.2932"
"SEN","01/04/2019","4","2547.4732","0.0727","23.5466","1388.8483","16745.7534","365.1518","624.2957","860.5294","1424.9063","2993.2584","980.4496"
"SEN","01/04/2019","5","2577.8447","0.0727","23.5953","1409.3643","16725.4825","360.4871","625.039","786.7144","1424.4006","3088.3734","983.7678"
"SEN","01/04/2019","6","2598.2864","0.0838","24.78","1744.9445","17646.8157","362.8499","623.8847","999.3563","1424.2315","3069.7154","986.905"
"SEN","01/04/2019","7","2680.6611","10.6722","24.4209","2207.7648","18207.8291","370.3994","624.3125","1133.2646","1423.3987","3377.2016","1225.1601"
"SEN","01/04/2019","8","2596.5698","583.3412","19.1758","2251.059","18611.3062","367.3606","623.3424","1263.3002","1423.1121","3759.1865","1387.8609"
"SEN","01/04/2019","9","2610.8972","1837.0078","20.0536","2257.2303","18830.3446","369.2478","614.3939","994.895","1422.7443","3846.0309","1580.183"
"SEN","01/04/2019","10","2683.7138","2516.4599","19.2085","2280.8268","19030.0361","383.0147","613.9405","1321.3808","1422.4419","4002.4952","1594.1394"
"SEN","01/04/2019","11","2767.2478","2645.4749","22.0379","2290.6787","19083.2338","383.9714","617.7332","1566.4284","1421.6281","4144.0804","1568.1035"
"SEN","01/04/2019","12","2903.8554","2706.6811","24.9064","2273.2275","19249.3235","394.3086","619.8411","1994.5322","1421.482","4253.0603","1550.3992"
"SEN","01/04/2019","13","2934.7688","2782.8124","24.604","2296.8893","19276.4736","398.1941","611.8656","2212.6251","1420.2553","4254.6106","1569.6285"
"SEN","01/04/2019","14","2889.2816","2774.6922","24.2059","2318.177","19102.2801","397.6708","610.7321","2509.5331","1419.5573","4286.6209","1666.1265"
"SEN","01/04/2019","15","2907.6519","2642.2148","26.8725","2351.8954","19044.9531","395.5523","613.3382","2502.0822","1418.8483","4318.9502","1672.1363"
"SEN","01/04/2019","16","2931.4439","2593.0177","23.8483","2476.4637","19061.7534","394.2135","613.8984","2470.0513","1418.1376","4406.6566","1687.9659"
"SEN","01/04/2019","17","2911.4042","2377.6484","20.7557","2450.6214","18976.104","389.2513","612.1279","2734.9985","1417.7762","4398.0564","1699.1035"
"SEN","01/04/2019","18","2894.54","2059.4598","16.5734","2401.9175","19039.009","394.0303","615.2791","2470.4352","1417.7126","4381.1806","1656.5407"
"SEN","01/04/2019","19","2819.5393","768.1307","18.8994","2452.9254","19469.451","398.5737","621.2455","3160.9609","1417.3563","4432.9064","1681.4292"
"SEN","01/04/2019","20","2932.8187","45.4716","18.9601","2482.7525","19937.7709","401.3786","623.4481","4732.554","1417.0896","4270.6894","1791.2883"
"SEN","01/04/2019","21","2979.0205","0.1104","18.9615","2375.2167","20026.5171","401.4843","623.7076","4899.4941","1417.4557","4465.6917","1776.8445"
"SEN","01/04/2019","22","2912.9194","0.1111","19.743","2357.1565","19971.4756","404.8123","623.8179","3928.9263","1416.7433","4609.6154","1701.8889"
"SEN","01/04/2019","23","2785.4382","0.1092","17.7476","2301.9516","20051.8937","403.8029","623.4787","2577.5483","1416.7708","4438.5286","1653.337"
"SEN","01/04/2019","24","2721.4471","0.1082","13.398","2166.3322","19784.3502","395.8959","625.1082","1421.4057","1417.0449","4166.9617","1643.5604"
"SEN","02/04/2019","1","2800.5572","0","13.0277","1992.7334","19080.452","387.9416","627.2699","786.6096","1416.6123","3543.9928","1597.2551"
