"Centro Nacional de Control de Energia"
"Estadistica de la Energia Generada Liquidada Agregada (MWh) Intermitente y Firme por Tipo de Tecnologia"
"Sistema Electrico Nacional"
"Dias de Operacion del Mes de: agosto 2019"
"Proceso de Liquidacion: Re-Liquidacion Intermedia (L2) "
"Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 21/dic/2019 05:10:01 hrs."
"Nota: Los acentos de este reporte se omiten intencionalmente por sistema."
"Sistema"," Dia"," Hora"," Eolica"," Fotovoltaica","  Biomasa"," Carboelectrica"," Ciclo Combinado"," Combustion Interna"," Geotermoelectrica"," Hidroelectrica"," Nucleoelectrica"," Termica Convencional"," Turbo Gas"
"SEN","01/08/2019","1","3452.8979","0.0001","2.5255","3124.6284","21020.3937","357.3181","591.1445","3435.1225","1250.0009","5722.865","2493.0952"
"SEN","01/08/2019","2","3405.3484","0","2.5218","3124.0247","20781.311","357.2429","587.6225","1910.3352","1250.3632","5623.6621","2444.5955"
"SEN","01/08/2019","3","3105.6174","0","2.5446","3128.8432","20904.3299","356.7518","587.1974","1214.2018","1251.4036","5470.2629","2360.5114"
"SEN","01/08/2019","4","3166.9526","0","2.5509","3132.138","20765.3365","357.3347","583.4117","1056.7894","1251.7031","4955.4974","2313.8994"
"SEN","01/08/2019","5","3278.2271","0","2.5038","3125.4177","20633.6681","357.3546","585.1131","731.6375","1252.1449","4771.91","2265.5715"
"SEN","01/08/2019","6","2846.2773","0","2.5185","3118.5692","20804.9375","329.0908","585.4091","1038.0976","1252.8048","4656.9492","2229.7974"
"SEN","01/08/2019","7","2377.3881","5.5651","2.5823","2996.7676","20718.4577","360.7345","589.4021","1785.4489","1254.0792","4894.2067","2247.8716"
"SEN","01/08/2019","8","2040.2204","100.2064","2.5378","3154.9901","20056.1611","359.372","581.2767","2505.3861","1254.5038","5272.3084","2306.0517"
"SEN","01/08/2019","9","1791.9798","1092.6283","2.5029","3169.3372","20294.8012","358.0377","566.665","2178.3567","1254.2991","5899.2302","2345.6804"
"SEN","01/08/2019","10","1991.4102","2382.7442","2.5314","3204.2069","20262.8141","356.9065","570.5715","2272.0795","1252.55","5871.549","2334.3662"
