"Centro Nacional de Control de Energia"
"Estadistica de la Energia Generada Liquidada Agregada (MWh) Intermitente y Firme por Tipo de Tecnologia"
"Sistema Electrico Nacional"
"Dias de Operacion del Mes de: diciembre 2019"
"Proceso de Liquidacion: Re-Liquidacion Intermedia (L2) "
"Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 22/abr/2019 05:10:01 hrs."
"Nota: Los acentos de este reporte se omiten intencionalmente por sistema."
"Sistema"," Dia"," Hora"," Eolica"," Fotovoltaica","  Biomasa"," Carboelectrica"," Ciclo Combinado"," Combustion Interna"," Geotermoelectrica"," Hidroelectrica"," Nucleoelectrica"," Termica Convencional"," Turbo Gas"
"SEN","01/12/2018","1","1234.9156","0","24.3081","2599.1632","17861.8913","244.6445","618.9523","1185.1886","1551.5174","2706.2475","1838.2556"
"SEN","01/12/2018","2","1107.6684","0","25.2873","2601.9552","17306.8844","242.5666","619.065","956.0328","1552.9338","2459.6509","1835.8912"
"SEN","01/12/2018","3","1051.5327","0","26.56","2463.0795","16904.4219","241.7183","619.5898","852.1339","1553.8403","2308.0371","1755.8314"
"SEN","01/12/2018","4","981.6185","0","26.7531","2084.9473","16917.177","239.6753","619.7307","1159.825","1554.0009","2324.9592","1752.6239"
"SEN","01/12/2018","5","872.1003","0","24.0633","2221.5659","16805.0266","238.3735","619.1047","969.107","1554.8071","2297.0979","1757.2208"
"SEN","01/12/2018","6","844.5425","0","24.2256","2268.8685","16792.1956","238.8375","619.6584","905.6787","1554.8722","2306.233","1765.0407"
"SEN","01/12/2018","7","910.9028","0.3988","26.7003","2335.7906","16784.5148","238.5336","620.5946","874.6868","1555.3429","2311.6506","1813.8236"
"SEN","01/12/2018","8","909.5487","119.6234","24.9075","2324.3096","16332.8956","231.4846","620.7984","968.601","1555.8672","2312.2905","1866.1191"
"SEN","01/12/2018","9","839.0936","900.9276","24.1417","2272.5475","16526.5559","231.7766","620.6623","1259.7429","1555.5576","2293.4336","1835.2492"
"SEN","01/12/2018","10","969.3397","1320.4015","24.5251","2351.3563","16705.2447","224.6645","619.4589","1299.6781","1555.1923","2294.9963","1824.5053"
"SEN","01/12/2018","11","1288.3008","1403.704","22.6357","2492.4591","16833.3746","231.5466","618.6945","1634.9744","1555.1114","2307.4329","1811.4124"
"SEN","01/12/2018","12","1400.0632","1387.441","23.1793","2485.9626","16836.7441","228.9282","617.3322","2065.9646","1554.2774","2214.5397","1792.2708"
"SEN","01/12/2018","13","1402.3761","1368.8877","23.868","2502.1314","16927.4721","229.3577","616.3393","2020.2439","1552.8886","2436.2654","1771.9918"
"SEN","01/12/2018","14","1223.6674","1353.1232","24.6439","2573.9658","16890.9368","230.9562","615.8413","2143.1543","1551.6591","2497.1651","1754.8428"
"SEN","01/12/2018","15","1134.2471","1363.5185","24.0608","2444.3396","16813.5281","231.1371","615.52","2146.9399","1548.7104","2524.3991","1751.1619"
"SEN","01/12/2018","16","984.8076","1340.0054","22.9176","2318.4868","16994.4781","236.085","613.7278","2133.5754","1545.9604","2641.115","1753.9335"
"SEN","01/12/2018","17","883.0766","1121.6291","27.3678","2325.7974","16991.4424","243.249","614.4987","2171.2215","1544.42","2662.7076","1759.14"
"SEN","01/12/2018","18","782.2577","243.9722","26.114","2518.0698","17308.6281","246.1522","615.737","2804.0631","1546.8133","2885.4274","1804.4223"
"SEN","01/12/2018","19","708.5893","0.7245","26.7144","2571.7451","18257.6386","241.29","616.9046","4682.9675","1548.9738","3078.6462","1839.6792"
"SEN","01/12/2018","20","820.4287","0","24.4662","2584.3528","18413.6321","234.4498","618.7588","4964.2839","1550.0696","3155.0909","1871.2714"
"SEN","01/12/2018","21","874.3859","0","25.2492","2577.3627","18368.6148","235.9792","620.3213","4488.5553","1551.3178","3247.6273","1866.0513"
"SEN","01/12/2018","22","866.7994","0","28.4691","2576.6535","18190.1943","234.3962","622.4753","3849.3554","1552.0436","3264.8736","1845.0714"
"SEN","01/12/2018","23","829.7935","0","26.3902","2576.9999","17465.3898","247.8178","622.2114","3384.7859","1552.4834","2940.5287","1834.5165"
"SEN","01/12/2018","24","838.2843","0","28.462","2506.8193","16949.6291","243.026","620.428","2534.6957","1553.0154","2684.5399","1830.204"
"SEN","02/12/2018","1","914.0764","0","26.9201","2150.4848","16434.5459","241.9737","619.8179","1698.2436","1552.8519","2592.651","1816.9956"
"SEN","02/12/2018","2","909.9518","0","26.7932","2025.1785","16305.4625","238.9486","619.3712","1149.1833","1552.7321","2417.2753","1870.4063"
"SEN","02/12/2018","3","825.2694","0","25.801","1732.7235","16111.0307","237.0437","618.7185","884.5742","1552.0028","2411.4802","1871.3395"
"SEN","02/12/2018","4","855.6748","0","24.2436","1707.2922","15990.5914","234.1106","618.6563","822.5359","1551.548","2405.6081","1771.9559"
"SEN","02/12/2018","5","802.9964","0","26.0226","1634.4592","15858.3876","224.9901","618.3423","886.6695","1551.3889","2475.9554","1637.7955"
"SEN","02/12/2018","6","774.9193","0","28.4997","1630.9352","15747.6991","226.2235","619.7113","979.4853","1551.8153","2510.0212","1629.0821"
"SEN","02/12/2018","7","675.2553","0.1195","24.7148","1641.1394","15979.188","228.9888","618.8659","1198.365","1551.7535","2568.3539","1638.2233"
"SEN","02/12/2018","8","673.8378","111.4137","22.3502","1789.9812","15894.1257","230.7749","618.6788","879.2902","1551.3463","2543.6222","1669.5814"
"SEN","02/12/2018","9","606.3779","909.769","15.4196","1999.6212","15380.8199","226.047","619.0374","1289.4388","1551.0259","2508.0869","1693.4955"
"SEN","02/12/2018","10","542.0804","1365.1827","11.4673","1725.9636","15381.4131","226.908","608.8092","1906.683","1550.2246","2538.0978","1836.6201"
"SEN","02/12/2018","11","610.5098","1486.5454","7.486","1592.7998","15619.545","235.1123","615.3768","2148.8537","1549.2536","2579.679","1815.3142"
"SEN","02/12/2018","12","692.6008","1504.3407","7.4872","1611.3946","15763.1865","238.1253","615.2275","2357.3686","1548.3711","2619.7305","1786.8867"
"SEN","02/12/2018","13","707.6535","1489.958","16.2429","1841.6167","15908.9413","237.5104","613.1574","2253.3813","1547.5615","2575.7146","1739.99"
"SEN","02/12/2018","14","712.1253","1506.2586","27.0588","2044.0642","15926.7107","233.6951","612.175","2216.3591","1546.778","2630.0479","1729.4474"
