"Centro Nacional de Control de Energia"
"Estadistica de la Energia Generada Liquidada Agregada (MWh) Intermitente y Firme por Tipo de Tecnologia"
"Sistema Electrico Nacional"
"Dias de Operacion del Mes de: enero 2019"
"Proceso de Liquidacion: Re-Liquidacion Intermedia (L2) "
"Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 23/may/2019 05:10:01 hrs."
"Nota: Los acentos de este reporte se omiten intencionalmente por sistema."
"Sistema"," Dia"," Hora"," Eolica"," Fotovoltaica","  Biomasa"," Carboelectrica"," Ciclo Combinado"," Combustion Interna"," Geotermoelectrica"," Hidroelectrica"," Nucleoelectrica"," Termica Convencional"," Turbo Gas"
"SEN","01/01/2019","1","2047.0935","0","24.1498","1236.4395","15222.8343","299.1692","602.0955","1640.2965","1481.9633","1600.9754","1337.3072"
"SEN","01/01/2019","2","2008.1297","0","24.2977","1259.845","14718.8098","294.9513","600.6637","1360.0141","1482.0395","1608.6685","1330.5732"
"SEN","01/01/2019","3","2054.7694","0","22.8202","1264.3421","14159.2183","287.6663","601.016","1110.2252","1482.5726","1618.1441","1331.8549"
"SEN","01/01/2019","4","2081.871","0","24.5815","1264.9099","13555.3696","282.7491","603.3956","919.1909","1481.9557","1671.6685","1331.5889"
"SEN","01/01/2019","5","2183.3962","0","23.1842","1256.3677","12899.6333","279.0032","602.9849","923.1295","1482.7002","1636.0351","1332.0099"
"SEN","01/01/2019","6","2207.6472","0","24.5716","1249.9596","12166.9653","279.7221","602.689","1261.5217","1483.2946","1671.2112","1334.1295"
"SEN","01/01/2019","7","2278.8088","0.0163","22.5817","1229.3398","11495.9099","283.1154","602.5644","1693.7411","1483.1588","1657.9772","1335.3405"
"SEN","01/01/2019","8","2339.6889","25.7729","22.9548","1245.7385","10938.8648","280.8381","603.1776","1435.0381","1482.9615","1659.2202","1378.371"
"SEN","01/01/2019","9","2452.4351","403.7123","22.9403","1250.4044","10707.906","284.3686","603.372","1152.3559","1483.1639","1659.5036","1379.6684"
"SEN","01/01/2019","10","2424.9202","920.3001","26.4952","1245.0944","10695.466","288.9299","600.5674","1239.7482","1483.0834","1663.5336","1373.1815"
"SEN","01/01/2019","11","2475.1478","1174.9097","21.2751","1244.0723","10846.7061","292.2509","596.8233","1439.1317","1482.6604","1683.0988","1368.7402"
"SEN","01/01/2019","12","2497.7316","1078.5605","21.8534","1241.7844","11164.2947","287.626","594.958","1739.6197","1482.2764","1707.7297","1361.3327"
"SEN","01/01/2019","13","2541.049","1029.2841","22.2101","1237.9177","11426.6349","281.701","595.1677","1781.3056","1481.977","1698.1663","1334.8215"
"SEN","01/01/2019","14","2503.2794","1117.806","21.9552","1239.1863","11699.8707","287.2464","595.4993","1713.6725","1481.5839","1701.6895","1330.3657"
