"Centro Nacional de Control de Energia"
"Estadistica de la Energia Generada Liquidada Agregada (MWh) Intermitente y Firme por Tipo de Tecnologia"
"Sistema Electrico Nacional"
"Dias de Operacion del Mes de: febrero 2019"
"Proceso de Liquidacion: Re-Liquidacion Intermedia (L2) "
"Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 20/jun/2019 05:10:01 hrs."
"Nota: Los acentos de este reporte se omiten intencionalmente por sistema."
"Sistema"," Dia"," Hora"," Eolica"," Fotovoltaica","  Biomasa"," Carboelectrica"," Ciclo Combinado"," Combustion Interna"," Geotermoelectrica"," Hidroelectrica"," Nucleoelectrica"," Termica Convencional"," Turbo Gas"
"SEN","01/02/2019","1","701.2372","0","21.0259","2979.1004","18212.6702","361.8673","637.2579","1877.5049","783.6197","3278.1695","1685.6608"
"SEN","01/02/2019","2","675.172","0","23.1392","2960.7313","17848.3213","364.7899","637.1275","1402.3977","783.1106","3233.2699","1617.0031"
"SEN","01/02/2019","3","608.5369","0","20.2997","2857.2538","17686.0011","375.2288","639.5285","1034.1297","783.1401","3168.3534","1616.9862"
"SEN","01/02/2019","4","492.1875","0","22.2302","2948.9088","17519.0275","373.6323","639.536","1017.043","782.8984","3172.8991","1617.9477"
"SEN","01/02/2019","5","495.0044","0","18.0272","2983.6943","17640.3053","374.4255","638.71","1048.3786","782.8724","3109.3363","1618.6387"
"SEN","01/02/2019","6","600.323","0","17.3476","2991.07","17845.7352","384.0468","639.8286","1242.051","782.5654","3338.1492","1622.2955"
"SEN","01/02/2019","7","598.7393","0.1313","22.7872","2987.327","17941.2458","393.5684","640.4174","1874.6027","782.2522","4216.9747","1657.6709"
"SEN","01/02/2019","8","598.2749","56.2646","18.7382","2981.501","18353.6817","397.352","640.6073","2178.0554","782.4179","4377.6824","1662.131"
"SEN","01/02/2019","9","447.5418","806.3801","16.5764","2930.378","18547.8201","373.9669","636.5958","2646.4109","782.5408","4319.1641","1609.9225"
"SEN","01/02/2019","10","473.8959","1544.4745","20.9828","2890.8723","18447.3832","382.9842","633.31","2969.9489","782.4503","4264.5083","1621.0388"
"SEN","01/02/2019","11","606.2463","1745.8979","21.9906","2913.8229","18369.9279","372.5934","635.8683","3094.0888","782.2839","4189.6744","1659.1507"
"SEN","01/02/2019","12","664.5365","1785.3161","18.9291","2891.7198","18402.3963","374.1168","635.595","3302.3249","781.9162","4282.4142","1670.8154"
"SEN","01/02/2019","13","813.1953","1789.5843","20.3485","2920.1741","18384.1347","387.6015","636.7236","3182.4393","781.8346","4327.5559","1681.2901"
"SEN","01/02/2019","14","883.4134","1717.4297","22.4329","3025.825","18216.1756","395.6401","635.9091","3188.5515","781.6798","4436.7344","1640.4942"
"SEN","01/02/2019","15","949.6743","1578.1424","22.2418","3123.1995","18308.5571","385.8445","634.8877","2896.7661","781.9551","4512.5903","1593.1517"
"SEN","01/02/2019","16","1085.3598","1728.1797","23.0898","3160.8035","18268.0915","354.1317","633.6087","2801.7746","782.5378","4515.2482","1524.9704"
"SEN","01/02/2019","17","1371.9198","1553.7857","22.5428","3158.1961","18214.4988","391.1816","635.1984","2523.1761","782.2365","4646.0964","1455.7927"
"SEN","01/02/2019","18","1439.7333","666.2371","24.5648","3173.2535","18215.1485","400.7253","635.107","2879.6476","782.2879","4757.932","1534.4633"
"SEN","01/02/2019","19","1422.7388","68.1311","20.5832","3164.9396","18392.0579","407.8016","635.1261","3996.0052","782.1272","4741.6672","1566.2196"
"SEN","01/02/2019","20","1694.5188","0.029","20.0169","3151.8307","18551.161","391.5266","634.7765","4832.6765","781.6658","4662.2776","1622.4075"
"SEN","01/02/2019","21","1723.2207","0","19.9101","3170.8869","18466.012","396.2514","633.429","4201.4009","781.8224","4750.4774","1669.5467"
"SEN","01/02/2019","22","1863.1702","0","20.5291","3162.8788","18534.9198","396.7291","633.9021","3189.6228","781.8977","4444.5285","1655.6969"
"SEN","01/02/2019","23","1844.2956","0","23.6673","3169.7884","18479.1872","393.9628","636.6268","2574.6652","781.8614","4077.6437","1648.3368"
"SEN","01/02/2019","24","1861.4176","0","18.5889","3149.2862","18351.865","394.0199","636.5134","1602.2904","781.9601","3929.8576","1626.4955"
"SEN","02/02/2019","1","1897.4152","0","19.9555","2882.6763","17644.0016","391.1704","636.4682","1121.4884","781.7803","3505.8141","1622.5216"
"SEN","02/02/2019","2","1764.0546","0","21.7425","2587.293","17332.5048","384.3859","636.8131","811.2761","781.711","3441.417","1535.0947"
"SEN","02/02/2019","3","1606.4187","0","21.0159","2316.117","16592.1493","380.7573","637.4271","1626.4811","781.5099","3354.091","1316.0336"
"SEN","02/02/2019","4","1642.4121","0","20.0141","2698.7609","16547.9461","379.8783","635.6956","1016.9269","781.8871","3319.5094","1296.6371"
"SEN","02/02/2019","5","1653.1829","0","21.0803","2702.8385","16519.0617","378.5259","635.965","924.4764","781.6662","3286.8227","1297.2045"
"SEN","02/02/2019","6","1759.0794","0","19.1012","2745.4099","16519.7118","376.6094","636.3591","887.783","781.532","3304.9697","1311.7923"
"SEN","02/02/2019","7","1836.7653","0.2872","20.0692","2809.7944","16694.5521","384.221","636.2322","1187.4747","781.4529","3432.9514","1560.3878"
"SEN","02/02/2019","8","1760.312","43.0106","20.5581","3053.119","16829.8601","392.6254","635.3301","1501.5838","781.3464","3507.0921","1639.0358"
"SEN","02/02/2019","9","1709.5441","483.2978","21.1556","3236.262","17465.3607","389.4381","634.247","1592.6773","781.6291","3583.3921","1635.981"
"SEN","02/02/2019","10","1848.8511","1067.3321","21.4276","3214.9518","17760.0786","349.9488","631.0014","1491.0027","781.8972","3785.4102","1605.0681"
"SEN","02/02/2019","11","1878.5048","1432.407","19.6601","3220.5174","17699.4575","357.1247","629.4684","1591.5878","781.7774","4003.5385","1594.7227"
"SEN","02/02/2019","12","1946.3329","1611.8156","18.917","3273.0819","17408.831","347.3877","629.5842","1666.4941","781.2911","4294.7809","1583.2394"
"SEN","02/02/2019","13","1998.5699","1667.8682","19.0229","3310.4961","17383.7075","341.9396","627.9407","1696.1147","781.016","4360.6688","1600.1037"
"SEN","02/02/2019","14","2099.6306","1771.2844","20.1156","3259.8996","17293.0074","338.5954","627.1632","1536.6973","780.6049","4225.1324","1628.8033"
"SEN","02/02/2019","15","2130.0939","1791.2773","21.4749","3237.2661","17153.9733","344.0003","623.0194","1772.2897","780.0651","3713.31","1615.6833"
"SEN","02/02/2019","16","2216.3866","1728.7072","20.5224","3229.2993","16742.7073","380.0938","615.5387","1666.4233","779.9793","3690.446","1612.6602"
"SEN","02/02/2019","17","2268.0124","1678.8974","21.4574","3224.947","16507.2584","399.7859","620.1052","1664.6096","780.2169","3666.3882","1600.2497"
"SEN","02/02/2019","18","2271.7525","1009.2324","21.3037","3234.6385","16859.3265","410.7556","619.8318","1928.3548","779.8328","3705.7005","1622.3211"
"SEN","02/02/2019","19","2161.4604","110.9917","21.0146","3226.0266","17199.646","415.8118","623.5186","3126.9454","779.9139","4194.3395","1609.2532"
"SEN","02/02/2019","20","1959.5503","2.2687","21.6466","3224.6479","17495.4605","411.7297","624.8022","4703.7475","779.9836","4547.6241","1591.0998"
"SEN","02/02/2019","21","1941.7939","0","22.021","3229.1838","17477.4205","407.1681","627.578","4311.0691","779.9561","4641.1901","1570.4603"
"SEN","02/02/2019","22","1871.8671","0","25.001","3247.2975","17520.6233","409.1714","628.5972","3437.0936","780.0405","4574.3611","1551.9265"
