"Centro Nacional de Control de Energia"
"Estadistica de la Energia Generada Liquidada Agregada (MWh) Intermitente y Firme por Tipo de Tecnologia"
"Sistema Electrico Nacional"
"Dias de Operacion del Mes de: julio 2019"
"Proceso de Liquidacion: Re-Liquidacion Intermedia (L2) "
"Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 20/nov/2019 05:10:01 hrs."
"Nota: Los acentos de este reporte se omiten intencionalmente por sistema."
"Sistema"," Dia"," Hora"," Eolica"," Fotovoltaica","  Biomasa"," Carboelectrica"," Ciclo Combinado"," Combustion Interna"," Geotermoelectrica"," Hidroelectrica"," Nucleoelectrica"," Termica Convencional"," Turbo Gas"
"SEN","01/07/2019","1","2880.7254","0","1.9928","2084.4062","21196.5763","381.8398","579.693","2218.8503","1456.7158","4665.1718","1527.8023"
"SEN","01/07/2019","2","2855.7285","0","1.993","2073.1456","20958.9228","380.2597","580.841","1600.1426","1368.8872","4390.7652","1455.2694"
"SEN","01/07/2019","3","2721.5451","0","1.9934","2078.2385","20545.8659","378.387","581.3488","1181.9968","1411.8505","4344.2698","1395.4"
"SEN","01/07/2019","4","2870.8375","0","1.9949","1974.0213","20252.9163","375.5267","581.1192","659.3061","1429.0445","4351.9656","1493.1113"
"SEN","01/07/2019","5","2684.0423","0","1.996","2098.7074","19969.24","373.4888","579.9054","736.8214","1440.6241","4258.3195","1558.2708"
"SEN","01/07/2019","6","2496.4685","0.0554","1.996","2142.6576","20093.3859","373.2529","578.5585","1012.2625","1444.2635","4145.6536","1593.8633"
"SEN","01/07/2019","7","2239.1879","13.718","1.9951","2189.1201","20897.9524","377.5909","579.4835","1050.849","1457.6314","4408.6943","1938.1804"
"SEN","01/07/2019","8","2315.1095","187.1241","1.9967","2242.3313","21134.9729","381.5428","578.1432","1457.4078","1473.0255","4438.7015","2066.1642"
"SEN","01/07/2019","9","2036.0155","1347.037","1.9981","2478.5903","20892.801","376.1696","578.8481","1961.6741","1482.7571","4590.9774","2158.0735"
"SEN","01/07/2019","10","1860.7899","2754.9606","1.9895","2999.8895","20466.0159","366.7154","576.4139","2005.1521","1488.3261","5032.5347","2173.3605"
"SEN","01/07/2019","11","1997.5658","3155.6123","1.9857","3136.6294","20520.0719","366.1645","577.1066","2039.3427","1500.7737","5307.5589","2176.3447"
"SEN","01/07/2019","12","2050.98","3246.6022","1.9811","3148.6491","20761.7166","363.6351","576.458","2771.602","1511.2454","5485.8362","2028.7799"
"SEN","01/07/2019","13","2373.3782","3189.9196","1.9776","3133.7142","20537.3968","366.5156","576.2964","3094.4998","1521.1104","5843.8577","1988.6638"
"SEN","01/07/2019","14","2532.7363","3093.6257","1.9731","2998.5149","20325.096","370.0039","575.2617","3892.3064","1522.0751","5857.7947","2007.2082"
"SEN","01/07/2019","15","2648.8855","2789.36","1.9737","2979.1168","20285.9576","365.2327","571.7506","4495.4011","1521.0012","5796.0769","2124.4467"
"SEN","01/07/2019","16","2622.1179","2619.9849","1.9829","3110.2926","20599.5141","367.9737","562.2971","4861.4664","1523.1813","5922.1924","2240.5019"
"SEN","01/07/2019","17","2501.1773","2575.8145","1.9858","3110.8255","20548.9759","368.4236","566.5632","5172.475","1521.3689","5963.8156","2249.4771"
"SEN","01/07/2019","18","2632.2434","1979.4338","1.9857","3091.1302","20531.6765","368.0685","561.2792","5295.4656","1519.8681","6016.6508","2235.7778"
"SEN","01/07/2019","19","2727.7777","1325.8912","1.9861","3087.0387","20575.4576","369.451","562.7178","4412.4416","1517.5285","5980.4343","2238.1735"
"SEN","01/07/2019","20","2522.7853","1152.0871","1.9868","3031.1439","20893.7086","372.1253","567.3982","3559.0805","1516.5209","6182.772","2258.9286"
"SEN","01/07/2019","21","2361.226","268.9847","1.9882","3043.7248","21266.0608","375.2763","573.1746","4587.3066","1517.3941","6167.7302","2295.6769"
"SEN","01/07/2019","22","2350.76","8.7022","1.9899","3110.4946","21363.1717","376.6721","578.2931","5670.0752","1518.8034","6107.9623","2351.4553"
"SEN","01/07/2019","23","2380.4","0","1.9914","3100.5761","21306.1441","378.6622","581.3054","5759.729","1520.9247","6109.6415","2308.5284"
"SEN","01/07/2019","24","2171.9376","0","1.9922","3080.4926","20861.0165","376.4924","579.9157","5361.2372","1524.0071","6039.2648","2154.2979"
"SEN","02/07/2019","1","2294.8338","0","1.9927","3079.6078","20924.0694","373.4626","579.2392","3354.6894","1526.3329","5947.1969","1936.0799"
"SEN","02/07/2019","2","2235.0275","0","1.9932","3096.5735","20953.0026","375.7033","576.4709","2155.0972","1529.5544","5967.1434","1869.083"
"SEN","02/07/2019","3","2143.3242","0","1.9933","2885.9755","21049.1933","375.912","573.4413","1370.7912","1531.9644","5956.2668","1865.438"
"SEN","02/07/2019","4","1986.2874","0","1.9939","2867.1774","20840.9529","372.1695","575.1016","1007.8538","1532.4791","5807.7229","1901.3957"
"SEN","02/07/2019","5","1917.3946","0","1.9948","2863.6793","20603.6552","369.4404","577.2236","1116.2494","1531.2278","5707.4728","1926.8387"
"SEN","02/07/2019","6","1667.0349","0.0528","1.9973","2846.7585","20799.6797","375.0982","578.0985","973.857","1529.2314","5747.7759","1966.205"
"SEN","02/07/2019","7","1594.889","14.8035","1.9976","2850.2622","21236.0286","379.0104","577.251","1075.9463","1528.0594","5932.8609","1982.9705"
"SEN","02/07/2019","8","1682.7711","185.6439","1.9987","2848.5416","21477.8872","380.669","570.1406","1370.0288","1526.6851","5982.7979","1989.098"
"SEN","02/07/2019","9","1502.5097","1302.0792","1.9954","2997.8929","21601.2354","379.1826","570.9989","1461.6068","1524.9121","5975.4084","1986.9436"
"SEN","02/07/2019","10","1714.9461","2671.7111","1.9889","3085.8597","21698.0265","371.6424","571.6922","1496.8561","1526.7844","5799.1105","2056.413"
"SEN","02/07/2019","11","2318.5852","3004.4378","2.0635","3100.8314","21853.7296","365.2434","570.5077","1333.3682","1524.7724","5827.96","2157.5069"
"SEN","02/07/2019","12","2304.3671","3117.6083","2.3139","3121.1921","21780.2145","363.4183","571.1536","2470.1825","1521.4618","5442.8007","2177.1134"
"SEN","02/07/2019","13","2186.7785","3145.0512","2.3125","3122.1181","21470.0403","362.7424","570.4439","4064.922","1520.9435","5173.5814","2148.1664"
"SEN","02/07/2019","14","2344.4132","3191.048","3.3081","3102.02","21428.5632","367.7237","570.9208","4309.211","1521.1799","5241.8594","2157.4207"
"SEN","02/07/2019","15","2522.4974","2895.714","3.5223","3147.3836","21684.6593","367.7127","571.1844","4732.4327","1521.0715","5238.6514","2065.5178"
"SEN","02/07/2019","16","2509.8075","2370.0576","3.5222","3137.9473","21679.8165","363.4649","569.488","5720.3711","1518.281","5232.4488","2043.6801"
"SEN","02/07/2019","17","2092.8882","2443.4497","3.3744","3102.0004","21644.8738","365.4359","565.9894","6223.2757","1513.4218","5215.2741","2044.6742"
"SEN","02/07/2019","18","1778.9399","2237.2956","3.5229","3093.2709","21655.2712","367.7186","562.7087","6230.4095","1509.7654","5175.873","2072.3339"
"SEN","02/07/2019","19","1812.8953","1956.2355","3.5913","3094.6193","21831.9739","370.1096","565.1058","5166.6261","1505.5821","5174.1248","2108.3307"
"SEN","02/07/2019","20","1875.8104","1080.9197","3.5926","3128.825","22005.7588","373.3171","566.5293","4934.594","1503.1051","5271.4622","2201.277"
"SEN","02/07/2019","21","1767.5018","285.8692","3.5934","3038.5704","22150.124","376.2739","569.5883","6247.2055","1504.9684","5270.1993","2289.1926"
"SEN","02/07/2019","22","1746.6899","9.2641","3.5917","2886.4912","22193.6768","379.3525","573.173","7410.2361","1507.5004","5304.9439","2313.9527"
"SEN","02/07/2019","23","1819.1932","0.012","3.5923","2893.4023","21731.6938","380.7801","573.9879","8052.4497","1510.0064","5280.6053","2169.3083"
"SEN","02/07/2019","24","1874.5161","0.012","3.5934","2835.7111","21490.1935","380.4208","573.9221","7409.8898","1512.078","5163.3598","2137.2312"
"SEN","03/07/2019","1","1826.0387","0.012","3.5953","2820.1763","21022.8537","379.4373","575.6776","5857.5043","1514.8911","5094.5809","2128.2502"
"SEN","03/07/2019","2","1922.1966","0.012","3.5959","2823.6524","20797.4269","383.1714","575.1661","4193.9975","1518.4589","5102.6511","2130.2456"
"SEN","03/07/2019","3","1804.5838","0.012","3.5966","2828.1397","20663.4583","385.1672","574.3584","3003.0892","1521.7107","5273.672","2114.743"
"SEN","03/07/2019","4","1707.1325","0.012","3.5971","2823.5324","20538.6112","380.8254","574.7298","1657.8479","1523.8087","5858.3618","2111.4681"
"SEN","03/07/2019","5","1761.1866","0.012","3.598","2857.7039","20847.6824","350.2472","577.1688","788.1177","1525.8236","5969.1632","2138.7348"
"SEN","03/07/2019","6","1502.1314","0.0603","3.5979","2849.2669","21003.5224","349.4215","577.4865","797.648","1526.7834","5885.1047","2157.1165"
"SEN","03/07/2019","7","1327.1362","15.0784","3.5973","2966.8642","21225.2674","351.3105","576.5799","1409.7211","1525.1403","5878.5731","2182.9057"
"SEN","03/07/2019","8","1277.4142","156.9873","3.5997","3095.6396","21379.2517","370.0643","571.8418","1476.5829","1524.363","5857.1874","2170.848"
"SEN","03/07/2019","9","1238.8407","1061.7964","3.581","3122.012","21441.1422","386.7925","571.6431","1711.7233","1524.9382","5883.4376","2178.4703"
"SEN","03/07/2019","10","1465.6909","2216.9861","3.2451","3099.8012","21191.0386","387.0127","571.4158","2038.899","1525.7301","5872.2719","2188.7454"
"SEN","03/07/2019","11","1637.4117","2891.9811","3.4329","3112.58","21146.5538","385.2045","569.5372","2247.1141","1524.751","5874.7728","2094.4872"
"SEN","03/07/2019","12","1698.1172","3166.2596","3.4285","3115.4859","21470.3086","382.091","551.6173","2492.8639","1522.7703","5918.1223","2036.9376"
"SEN","03/07/2019","13","1869.6122","3196.4535","3.4372","3090.2137","21618.5618","378.7654","548.6623","2900.9742","1520.2715","5982.8796","2056.3681"
"SEN","03/07/2019","14","1841.9121","3173.559","3.5125","3123.3773","21780.4118","377.2883","549.0782","3477.8801","1517.3517","6009.8092","2141.8852"
"SEN","03/07/2019","15","2253.9828","3046.6526","3.4222","3097.1962","21707.7147","380.6559","549.467","3560.5888","1515.2913","5987.73","2095.178"
"SEN","03/07/2019","16","2607.4538","2773.7255","3.4229","3110.9353","21731.5302","380.2469","559.4152","4055.8222","1513.4737","6082.0271","2035.2927"
"SEN","03/07/2019","17","2603.5193","2607.9817","3.4284","3097.8324","21766.2482","377.095","575.5975","4506.9878","1512.5074","6037.1393","2058.6135"
"SEN","03/07/2019","18","2664.411","2034.2347","3.4296","3121.6698","21926.0012","376.9535","574.0444","4298.0111","1511.0309","6047.3629","2054.188"
"SEN","03/07/2019","19","2434.0366","1739.9269","3.4292","3103.9557","21889.6205","376.3666","570.1663","3468.4497","1510.9115","6036.037","2152.5739"
"SEN","03/07/2019","20","2252.2735","1214.3049","3.4304","3139.9824","22073.5522","377.4369","572.2214","3130.7797","1512.4888","6031.9472","2205.6488"
"SEN","03/07/2019","21","2192.2598","323.1414","3.4319","3138.5781","21889.4168","381.3555","576.2018","4572.8947","1514.9457","6092.401","2221.3746"
"SEN","03/07/2019","22","2142.1825","9.1652","3.4338","3146.7363","22022.2545","386.0252","579.1607","5813.8889","1515.8424","6137.1456","2214.8914"
"SEN","03/07/2019","23","2239.8217","0","3.4346","3137.7189","21845.1948","387.2913","579.4997","5814.711","1517.7142","6149.9186","2198.8048"
"SEN","03/07/2019","24","2058.7579","0","3.4364","3115.085","21683.718","386.3781","576.2087","5204.8707","1519.7933","6090.9282","2178.4546"
"SEN","04/07/2019","1","1951.1109","0","3.4355","3098.5953","20993.4855","382.6654","578.5976","4075.9464","1522.7027","5788.1377","2130.4225"
"SEN","04/07/2019","2","1884.5058","0","3.4357","3050.7725","21217.4852","380.0844","579.3357","2767.9833","1527.3198","5510.2252","2106.1511"
"SEN","04/07/2019","3","1871.6569","0","3.4391","2909.8744","21284.5813","374.2112","579.1172","2113.4779","1531.3642","5447.9588","2091.9699"
"SEN","04/07/2019","4","1751.0758","0","3.4394","2916.6221","21026.0159","376.4667","581.3038","1551.5168","1532.7657","5516.0252","2078.6906"
"SEN","04/07/2019","5","1611.6629","0","3.4396","2910.3659","21118.3285","384.11","579.8516","1084.4679","1534.1112","5474.8288","2003.9305"
"SEN","04/07/2019","6","1511.5333","0.043","3.4427","2924.5881","21151.7182","386.4247","579.6211","1158.3991","1534.7997","5409.3444","1979.7369"
"SEN","04/07/2019","7","1617.6973","13.9674","3.443","2933.1679","21013.0309","388.3979","579.4795","1735.2632","1535.0598","5435.5314","2015.7426"
"SEN","04/07/2019","8","1727.9506","154.0085","3.4437","2968.0458","21168.4606","387.9642","574.8142","1953.7049","1534.8325","5375.8611","2034.6739"
"SEN","04/07/2019","9","2033.6941","836.7276","3.4404","3148.0235","21272.7749","385.3971","572.1114","2260.8737","1534.4886","5252.366","2049.8008"
"SEN","04/07/2019","10","2535.2066","1822.1295","3.4326","3136.2015","20999.0783","383.3163","572.6171","2732.584","1535.8702","5177.6001","2059.4011"
"SEN","04/07/2019","11","2654.7139","2502.5854","3.247","3157.1133","21421.2884","379.3957","568.3544","2591.9604","1536.8961","5045.7711","2071.9297"
"SEN","04/07/2019","12","2598.3945","2909.8169","3.3097","3172.684","21580.4309","385.2053","570.5919","3565.1996","1536.109","4622.7216","2067.8552"
"SEN","04/07/2019","13","2755.3533","2885.5073","3.4205","2945.1264","21978.4393","399.7697","571.7878","4073.2154","1534.34","4480.9448","2015.8833"
"SEN","04/07/2019","14","2890.9937","2928.9051","3.4199","2541.5866","21955.3552","391.2562","572.0678","4920.1113","1531.5202","4496.6112","1947.9566"
"SEN","04/07/2019","15","2886.9528","2920.4819","3.4215","2565.7741","22055.2806","392","571.4294","5422.6935","1525.5933","4475.2967","1880.5222"
"SEN","04/07/2019","16","2768.6719","2662.5692","3.4213","2566.6802","22040.5504","388.8232","570.9011","6056.1447","1520.5334","4449.6099","1999.1738"
"SEN","04/07/2019","17","2816.5537","2589.5138","3.4205","2567.4866","22046.0077","387.8011","571.7686","6607.5414","1516.3926","4400.7586","2018.9748"
"SEN","04/07/2019","18","2953.8947","2253.9793","3.4221","2551.6277","22028.8655","390.7318","571.4781","6026.8096","1514.0352","4417.6509","1965.1843"
"SEN","04/07/2019","19","3025.6552","1872.9941","3.4237","2464.9667","22162.1427","389.4323","568.8078","5314.8182","1513.1257","4392.636","2001.4996"
"SEN","04/07/2019","20","2786.0921","1121.6658","3.4285","2526.186","22170.5574","391.4408","566.3779","5047.6276","1514.0033","4431.5411","2078.6116"
"SEN","04/07/2019","21","2649.3906","292.5977","3.4293","2721.0997","22288.971","394.1236","570.8569","6070.9195","1516.9887","4543.6794","2206.6849"
"SEN","04/07/2019","22","2692.7696","6.9213","3.4288","2720.1358","22566.9747","398.3089","571.5848","6816.6031","1522.3876","4587.3988","2286.6065"
