"Centro Nacional de Control de Energia"
"Estadistica de la Energia Generada Liquidada Agregada (MWh) Intermitente y Firme por Tipo de Tecnologia"
"Sistema Electrico Nacional"
"Dias de Operacion del Mes de: junio 2019"
"Proceso de Liquidacion: Re-Liquidacion Intermedia (L2) "
"Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 20/oct/2019 05:10:01 hrs."
"Nota: Los acentos de este reporte se omiten intencionalmente por sistema."
"Sistema"," Dia"," Hora"," Eolica"," Fotovoltaica","  Biomasa"," Carboelectrica"," Ciclo Combinado"," Combustion Interna"," Geotermoelectrica"," Hidroelectrica"," Nucleoelectrica"," Termica Convencional"," Turbo Gas"
"SEN","01/06/2019","1","1583.829","0","12.7803","2629.691","21653.9963","385.7171","562.4387","3989.5005","772.4008","5946.4643","1990.5267"
"SEN","01/06/2019","2","1618.2799","0","15.855","2644.9901","21448.7403","387.402","562.8382","2819.4836","772.7434","5861.2394","1969.9108"
"SEN","01/06/2019","3","1489.3685","0","16.6747","2698.1632","21192.7312","386.9467","566.9553","1803.7831","772.746","5880.3703","1971.5902"
"SEN","01/06/2019","4","1141.8419","0","10.2501","2661.8805","20838.6524","388.8659","569.2886","1610.4582","772.7437","5858.7919","1963.0679"
"SEN","01/06/2019","5","997.9651","0","14.9322","2656.8485","20729.2998","384.4017","570.8722","1319.9474","772.6503","5899.4422","1948.7433"
"SEN","01/06/2019","6","1049.3352","0.1417","15.8464","2712.3781","20858.7074","385.1271","571.9935","1105.9127","772.8047","5895.517","1878.2242"
"SEN","01/06/2019","7","762.3268","16.6417","15.7976","2692.4694","20714.5926","385.8556","573.0347","1337.9388","772.9859","6011.1325","1878.8475"
"SEN","01/06/2019","8","602.659","162.7111","16.4392","2627.3132","20692.1936","389.6428","569.8008","1512.7171","772.8401","6027.876","1880.7031"
"SEN","01/06/2019","9","500.5426","1059.773","17.1961","2615.0494","20361.2168","388.2621","567.4872","2453.0637","772.9734","6007.867","1884.7544"
"SEN","01/06/2019","10","386.0206","1994.442","15.9463","2670.1218","20296.9011","387.2525","566.3464","2927.1644","772.6104","5946.9505","1911.6966"
"SEN","01/06/2019","11","446.1809","2534.9073","15.7767","2610.1601","20589.1762","379.387","567.9179","2972.8609","773.0053","5941.1903","1945.875"
"SEN","01/06/2019","12","514.3413","2623.2614","16.5648","2680.0319","20758.9262","380.1372","568.592","3160.4889","772.0665","5972.4056","1946.1527"
"SEN","01/06/2019","13","650.0105","2869.8517","15.6942","2666.3297","20661.2052","378.6897","568.2539","3267.7897","772.6","5968.4773","1912.2874"
"SEN","01/06/2019","14","846.8594","2979.1986","17.2599","2682.6009","20611.3785","382.0316","568.5605","3281.7084","772.2828","5982.2186","1895.692"
"SEN","01/06/2019","15","1179.7027","3043.3427","16.4754","2583.2061","20580.4016","382.5268","567.2238","2941.3308","771.9356","5973.2953","1888.2164"
"SEN","01/06/2019","16","1154.438","2955.4333","14.9803","2524.4058","20756.8447","381.4161","566.2519","2753.123","770.8943","6019.6578","1900.9495"
"SEN","01/06/2019","17","1306.6548","2553.5253","15.82","2513.1613","20722.8149","384.6693","563.6514","2881.7384","770.5905","6046.914","1908.9007"
"SEN","01/06/2019","18","1638.2482","2355.2075","19.5463","2515.5824","20583.3053","381.2036","561.9026","2457.9374","770.387","6109.3379","1937.5762"
"SEN","01/06/2019","19","1899.013","1971.9235","16.7015","2518.3638","20717.6506","384.2153","564.2711","2697.0405","770.4005","5386.7028","1958.377"
"SEN","01/06/2019","20","2098.5004","1104.2829","16.9785","2575.6831","20866.2723","381.1159","588.9205","3448.5486","770.7196","5200.3962","1965.4607"
"SEN","01/06/2019","21","2117.4602","244.3121","16.4475","2613.7165","21068.8651","381.4021","596.7966","4849.4529","771.2568","5892.1827","1990.1271"
"SEN","01/06/2019","22","1900.3293","4.1345","17.5807","2611.7358","21261.7506","390.3712","599.8205","4932.2726","771.7207","6426.2317","1993.8391"
"SEN","01/06/2019","23","1570.7635","0","17.166","2670.1097","21316.5682","392.2056","603.8912","4350.9136","771.9616","6432.1952","1998.3767"
"SEN","01/06/2019","24","1482.311","0","15.9162","2668.271","21368.8095","391.1376","602.5701","2684.54","771.9911","6447.351","1990.4785"
"SEN","02/06/2019","1","1467.4672","0","14.3025","2629.5187","21228.6241","374.6323","603.0988","1719.6888","772.503","6045.2198","1991.1065"
"SEN","02/06/2019","2","1269.8069","0","16.1546","2564.1894","20249.4907","375.8898","606.1134","2552.67","773.0249","4980.1545","1985.1778"
"SEN","02/06/2019","3","1026.6975","0","19.3647","2625.0137","19682.8254","386.2289","609.3786","2432.1892","772.561","4828.4303","1984.3319"
"SEN","02/06/2019","4","848.4499","0","16.7248","2563.9392","19381.7024","380.6652","609.9147","2221.0441","772.8514","4799.8291","2032.3667"
"SEN","02/06/2019","5","776.3955","0","17.029","2606.6265","19383.1943","383.4636","609.6626","1765.9423","772.9056","4777.4875","2013.2279"
"SEN","02/06/2019","6","612.2793","0.1461","18.2312","2635.8877","19475.2648","382.1132","610.882","1755.3535","772.9507","4730.6242","1852.343"
"SEN","02/06/2019","7","526.8149","16.3743","14.6681","2470.0965","19378.0889","356.0635","610.6345","1796.8623","773.1458","4955.9658","1831.843"
"SEN","02/06/2019","8","484.5085","170.2838","16.4319","2359.8977","19593.2608","366.4415","607.8445","928.4892","773.3906","5045.9008","1823.3091"
"SEN","02/06/2019","9","442.3391","1198.194","15.8047","2221.6474","19596.5833","371.545","604.1139","575.9153","741.6298","4709.7658","1951.1353"
"SEN","02/06/2019","10","538.9672","2075.4794","15.5771","2147.4147","19503.6676","366.3929","601.8003","1062.4292","505.2719","4439.9205","1972.9108"
"SEN","02/06/2019","11","593.1901","2443.0064","16.4068","2256.9309","19425.8503","367.6771","601.2815","1513.2965","476.0483","4498.0957","1943.0414"
"SEN","02/06/2019","12","670.4548","2621.7074","12.8238","2236.9619","19569.2221","355.0301","601.8175","1313.1046","474.8477","4954.5479","1930.0815"
"SEN","02/06/2019","13","813.3742","2724.7842","15.7668","2013.8276","19551.5212","361.762","600.2256","1471.9845","479.9812","5363.022","1909.8659"
"SEN","02/06/2019","14","1251.1834","2803.2361","4.2385","2015.7694","19628.8074","365.5218","600.2934","1130.4795","499.6982","5424.0677","1898.3521"
"SEN","02/06/2019","15","1257.5423","2805.926","5.0321","2085.9011","19825.1052","374.9215","602.0149","1145.03","517.2763","5352.4688","1893.288"
"SEN","02/06/2019","16","1211.176","2566.4331","8.3356","2225.2411","19822.6024","384.1455","597.0225","1168.0407","614.7714","5317.9026","1894.6838"
"SEN","02/06/2019","17","1193.1352","2279.0728","9.8679","2416.7328","19829.8931","390.5494","597.5761","1272.8047","724.8552","5525.3728","1836.6674"
