"Centro Nacional de Control de Energia"
"Estadistica de la Energia Generada Liquidada Agregada (MWh) Intermitente y Firme por Tipo de Tecnologia"
"Sistema Electrico Nacional"
"Dias de Operacion del Mes de: marzo 2019"
"Proceso de Liquidacion: Re-Liquidacion Intermedia (L2) "
"Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 21/jul/2019 05:10:01 hrs."
"Nota: Los acentos de este reporte se omiten intencionalmente por sistema."
"Sistema"," Dia"," Hora"," Eolica"," Fotovoltaica","  Biomasa"," Carboelectrica"," Ciclo Combinado"," Combustion Interna"," Geotermoelectrica"," Hidroelectrica"," Nucleoelectrica"," Termica Convencional"," Turbo Gas"
"SEN","01/03/2019","1","796.3225","0","22.4427","3401.4341","17302.794","366.6588","629.8462","2135.6989","726.4302","5251.5273","1903.1877"
"SEN","01/03/2019","2","624.2915","0","23.1879","3373.6675","17240.6669","365.2627","629.8585","1460.4821","726.9726","4933.8858","1854.9951"
"SEN","01/03/2019","3","545.8391","0","22.947","3355.3963","17246.2445","364.1371","629.2205","1192.638","727.2573","4620.4229","1724.1879"
"SEN","01/03/2019","4","485.1728","0","22.5157","3368.8068","17231.0634","364.0993","630.2798","1205.7827","727.6871","4349.6587","1744.3992"
"SEN","01/03/2019","5","397.7701","0","22.7296","3374.2245","17233.4206","363.4172","631.2356","1169.6563","727.7414","4399.5327","1740.1594"
"SEN","01/03/2019","6","305.0248","0","22.6797","3380.7424","17305.9958","362.9995","631.7221","1289.8824","727.9673","4926.6586","1683.7908"
"SEN","01/03/2019","7","292.2226","1.0474","24.7663","3392.7417","17235.1609","369.4329","631.2701","2253.5029","728.3002","5057.2294","1790.7039"
"SEN","01/03/2019","8","290.5924","163.2084","19.6692","3192.6703","17495.9961","357.7034","628.9755","2831.9068","728.5355","5159.6292","1764.6665"
"SEN","01/03/2019","9","259.4239","1246.7749","22.9396","3121.1789","17544.7773","363.6304","624.8322","3357.7442","729.0186","5189.2775","1756.5378"
"SEN","01/03/2019","10","243.9546","2094.8807","23.1929","3092.1314","17495.8406","364.5281","619.7177","4053.2853","728.9112","5085.2046","1744.2777"
"SEN","01/03/2019","11","250.0321","2228.7981","21.1189","3095.3628","17234.9314","344.4382","617.6397","4738.8489","727.9562","5120.9579","1743.3024"
"SEN","01/03/2019","12","253.9719","2235.9461","23.922","3093.65","16984.3652","312.8232","618.5661","5383.232","727.7914","5062.5974","1764.2008"
"SEN","01/03/2019","13","299.2323","2205.4532","22.4914","3244.79","16902.8737","311.6795","619.3558","5666.9602","727.5893","5112.7931","1798.1268"
"SEN","01/03/2019","14","387.1321","2189.5825","22.389","3323.2415","16848.5009","314.1352","618.9536","5805.1405","726.973","5083.3714","1836.5017"
"SEN","01/03/2019","15","556.6985","2156.6536","20.1877","3378.0186","16697.7089","319.1695","618.1789","5774.54","726.2646","5175.0574","1849.7425"
"SEN","01/03/2019","16","636.1959","2154.264","19.967","3403.0391","16788.6036","320.7093","617.5644","5673.8535","724.9407","5231.8862","1800.222"
"SEN","01/03/2019","17","742.5458","2033.1398","12.3927","3352.3341","16834.1788","319.2629","614.6438","5560.4847","724.9384","5262.8239","1806.8969"
"SEN","01/03/2019","18","858.5752","1543.5058","24.5686","3354.5601","16789.3269","327.2688","611.7414","5294.5011","725.3961","5284.1919","1800.5764"
"SEN","01/03/2019","19","1111.842","316.2969","23.2396","3417.4181","17036.7424","338.5115","615.2456","6019.8856","724.9619","5358.8706","1852.7427"
"SEN","01/03/2019","20","1017.6142","2.2635","21.6153","3467.6267","17422.9562","365.4849","622.1425","7166.8645","724.7068","5493.2972","1922.3918"
"SEN","01/03/2019","21","951.373","0","17.6666","3457.9724","17494.1184","371.2949","624.2447","6957.5967","726.3078","5571.2295","1903.8974"
"SEN","01/03/2019","22","1098.8516","0","21.5942","3427.653","17503.7955","378.9267","624.198","6015.9525","737.736","5215.9214","1914.0215"
"SEN","01/03/2019","23","1170.5884","0","20.606","3426.89","17342.3675","371.0061","626.2521","5114.224","780.1806","5236.7774","1866.2365"
"SEN","01/03/2019","24","1171.6607","0","24.008","3338.9128","17386.518","363.1621","626.8519","4207.4362","802.3996","5241.6582","1903.9795"
"SEN","02/03/2019","1","1172.5579","0","25.4339","3091.913","17424.8325","343.0818","628.8213","2801.3654","804.952","5084.0099","1827.3624"
"SEN","02/03/2019","2","1061.4532","0","21.9264","2844.7604","17223.0572","337.7757","628.8037","2144.6492","810.0226","4986.6172","1706.8345"
"SEN","02/03/2019","3","917.5821","0","20.6381","2848.5496","17251.2543","332.0547","628.7247","1395.7752","836.1489","4990.5233","1674.6135"
"SEN","02/03/2019","4","900.1476","0","22.6351","2895.5875","17123.7261","328.6613","629.0899","998.0165","871.6169","4777.0299","1691.1387"
"SEN","02/03/2019","5","795.3148","0","18.0147","3058.1298","16836.2326","327.0464","629.3305","1151.7535","924.8044","4838.8314","1715.1536"
"SEN","02/03/2019","6","817.8974","0","18.7582","3158.6456","16730.4838","332.6133","629.2644","1082.8208","933.4323","4816.5902","1719.0259"
"SEN","02/03/2019","7","991.5442","0.7878","21.43","3156.7364","16729.5465","338.1406","629.5146","1304.7663","962.3272","4887.9325","1722.5194"
"SEN","02/03/2019","8","1020.7426","207.8788","19.0045","3121.3594","16628.6053","308.063","628.8058","1672.3442","969.8585","4864.786","1718.7644"
"SEN","02/03/2019","9","959.1747","1327.6956","21.6219","3083.7785","16532.2362","306.2571","626.2387","2135.0217","962.3284","4917.9655","1715.7658"
"SEN","02/03/2019","10","997.7868","1914.1478","21.6354","3090.6335","16388.6282","307.5447","622.0471","2773.6429","967.8463","4882.9671","1755.5523"
"SEN","02/03/2019","11","1307.5142","2045.0825","22.146","2963.4547","16324.6721","310.9117","620.6108","3272.0939","961.4563","4932.0983","1800.719"
"SEN","02/03/2019","12","1544.3787","2124.5974","23.5398","3075.804","16321.711","309.8337","617.598","3374.7001","957.5126","5053.3154","1798.5679"
"SEN","02/03/2019","13","1905.5088","2082.1892","23.2168","3145.3506","16182.7194","310.8937","617.1028","3170.6207","988.0215","5105.1116","1793.3616"
"SEN","02/03/2019","14","2159.0831","2092.5261","23.4463","3137.4589","16064.601","305.9554","613.7098","2771.7393","1005.4498","5313.0333","1783.1758"
"SEN","02/03/2019","15","2111.3575","2065.3357","21.2253","3128.9006","15992.8942","306.6553","611.8407","2439.9855","1000.0004","5393.5929","1772.7742"
"SEN","02/03/2019","16","2107.3871","2036.6608","20.1634","3165.9021","16245.4409","307.3734","608.3034","1738.2135","1008.8448","5428.7078","1749.2923"
"SEN","02/03/2019","17","2145.1768","1939.9187","20.3684","3145.2354","16416.7806","305.0158","610.4897","1589.2799","1078.2873","5404.104","1703.4777"
"SEN","02/03/2019","18","2091.4156","1448.8799","21.6338","3105.7719","16646.5802","312.6706","610.4284","1708.2994","1078.7792","5346.2457","1694.9919"
"SEN","02/03/2019","19","2034.8399","290.155","19.0513","3112.0109","16522.5811","347.6751","610.8151","3588.6966","1081.4145","5495.4387","1723.0608"
"SEN","02/03/2019","20","1844.309","2.0778","20.3387","3115.3535","16306.2118","363.4622","613.6281","6275.0282","1131.6708","5586.5024","1756.1925"
"SEN","02/03/2019","21","1825.316","0","19.8807","3121.3558","16418.0288","363.9052","616.0205","6290.5441","1152.4475","5600.7372","1789.682"
"SEN","02/03/2019","22","1770.7746","0","21.2414","3107.6227","16227.1564","360.2636","618.2191","5480.2041","1144.2647","5627.7525","1770.277"
"SEN","02/03/2019","23","1702.2241","0","20.5675","3081.4502","16267.686","358.3984","620.0531","4149.3214","1142.3135","5599.2086","1772.6376"
"SEN","02/03/2019","24","1628.5253","0","18.1883","3089.6218","16389.2871","335.0615","618.5895","2536.6543","1218.2693","5483.6856","1731.4652"
"SEN","03/03/2019","1","1317.1329","0","22.3873","2996.9865","16266.8919","316.6357","623.9496","1806.8188","1220.4744","5200.1391","1672.144"
"SEN","03/03/2019","2","1151.567","0","23.81","2938.0303","16160.812","311.3859","624.4993","1250.6694","1215.9336","4900.4564","1679.7246"
"SEN","03/03/2019","3","1009.0983","0","19.616","3094.7142","15990.3788","311.138","622.5488","1160.6703","1208.3665","4248.2554","1672.6262"
"SEN","03/03/2019","4","962.2777","0","21.5416","3085.4526","15777.4618","306.2389","624.4337","946.5392","1214.8132","3955.3735","1671.7088"
"SEN","03/03/2019","5","895.8917","0","20.138","3077.2881","15666.9935","303.0425","624.5998","921.9634","1211.8787","3879.6946","1672.8296"
