"Centro Nacional de Control de Energia"
"Estadistica de la Energia Generada Liquidada Agregada (MWh) Intermitente y Firme por Tipo de Tecnologia"
"Sistema Electrico Nacional"
"Dias de Operacion del Mes de: mayo 2019"
"Proceso de Liquidacion: Re-Liquidacion Intermedia (L2) "
"Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 20/sep/2019 05:10:01 hrs."
"Nota: Los acentos de este reporte se omiten intencionalmente por sistema."
"Sistema"," Dia"," Hora"," Eolica"," Fotovoltaica","  Biomasa"," Carboelectrica"," Ciclo Combinado"," Combustion Interna"," Geotermoelectrica"," Hidroelectrica"," Nucleoelectrica"," Termica Convencional"," Turbo Gas"
"SEN","01/05/2019","1","1798.3658","0.0001","8.3208","2238.6848","18066.7621","367.7699","605.3444","5590.2895","772.537","5749.4966","1563.4782"
"SEN","01/05/2019","2","1703.546","0.0001","3.3907","2238.7022","17776.989","361.3918","607.509","4412.0319","773.2919","5797.087","1596.1309"
"SEN","01/05/2019","3","1665.3193","0.0001","2.6652","2224.245","17845.2384","358.9728","608.3357","3237.2932","773.7951","5765.8272","1736.0789"
"SEN","01/05/2019","4","1633.6631","0.0001","2.4878","2234.6396","17886.2132","362.6379","608.1846","2620.1149","774.5225","5719.5086","1639.4741"
"SEN","01/05/2019","5","1576.7286","0","2.5405","2241.8197","17953.0634","362.0081","609.9534","2118.8713","774.9677","5705.3315","1521.8372"
"SEN","01/05/2019","6","1481.0714","0","3.2483","2190.5829","17784.7777","363.6528","609.1804","1893.628","775.4234","5751.8886","1514.0409"
"SEN","01/05/2019","7","1384.2605","8.0457","4.2694","2157.9223","17660.9308","363.8498","609.9207","1736.6553","775.5949","5656.0544","1489.0472"
"SEN","01/05/2019","8","1345.2919","112.0192","4.7532","2133.4311","17630.634","364.508","608.2102","1384.9102","775.5779","5690.8646","1438.5765"
"SEN","01/05/2019","9","1356.4309","1168.6736","4.6148","2093.1447","17579.4226","368.2625","605.565","1143.9058","775.5468","5666.7256","1425.3184"
"SEN","01/05/2019","10","1338.2501","2225.0929","4.1067","2073.0261","17062.9839","366.6028","602.6202","1225.5505","775.4441","5630.8973","1714.5068"
"SEN","01/05/2019","11","1327.6334","2512.0761","4.1713","2092.9173","17019.4508","361.4954","600.4815","2032.9882","775.179","5610.8185","1752.286"
"SEN","01/05/2019","12","1271.0953","2546.5676","3.7674","2138.9799","17237.415","354.5896","596.5904","2532.9198","774.6131","5640.9752","1784.7422"
"SEN","01/05/2019","13","1418.3647","2601.4673","2.9703","2159.8034","17341.5016","357.6954","595.9032","2776.2058","774.2281","5678.0498","1760.6932"
"SEN","01/05/2019","14","1626.2362","2577.3444","2.9749","2056.6592","17779.0222","356.2157","595.8319","2896.1169","772.918","5568.717","1610.6263"
