"Centro Nacional de Control de Energia"
"Estadistica de la Energia Generada Liquidada Agregada (MWh) Intermitente y Firme por Tipo de Tecnologia"
"Sistema Electrico Nacional"
"Dias de Operacion del Mes de: noviembre 2019"
"Proceso de Liquidacion: Re-Liquidacion Intermedia (L2) "
"Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 21/mar/2020 05:10:01 hrs."
"Nota: Los acentos de este reporte se omiten intencionalmente por sistema."
"Sistema"," Dia"," Hora"," Eolica"," Fotovoltaica","  Biomasa"," Carboelectrica"," Ciclo Combinado"," Combustion Interna"," Geotermoelectrica"," Hidroelectrica"," Nucleoelectrica"," Termica Convencional"," Turbo Gas"
"SEN","01/11/2019","1","2441.6526","0","4.0311","1542.8929","17999.7629","392.0657","553.232","1756.749","1555.2884","3538.1928","1448.7053"
"SEN","01/11/2019","2","2257.8084","0","4.0321","1509.2841","17502.6072","389.1477","551.8493","1218.7012","1555.3625","3473.4278","1431.5289"
"SEN","01/11/2019","3","2054.5284","0","4.0318","1540.8085","17643.1022","384.0773","552.176","730.2989","1555.3982","3491.1011","1429.2216"
"SEN","01/11/2019","4","1894.3835","0","4.03","1535.0916","17042.8862","391.4786","553.1301","1011.1722","1556.5626","3480.6923","1420.0487"
"SEN","01/11/2019","5","1735.1764","0","4.0307","1536.6835","17526.3184","390.475","553.4764","1005.9751","1557.1926","3488.5019","1422.4232"
"SEN","01/11/2019","6","1780.2268","0","4.0303","1523.2935","18055.7641","388.9923","553.4763","1050.9739","1557.8702","3461.2759","1437.5837"
"SEN","01/11/2019","7","1876.927","4.6672","4.0316","1512.6293","18615.3156","390.9916","554.3853","1508.7833","1558.4656","3547.8097","1442.8775"
"SEN","01/11/2019","8","1901.048","287.468","3.7524","1519.6002","18911.0316","382.8187","552.7548","1435.3333","1558.6376","3731.4145","1442.4231"
"SEN","01/11/2019","9","1910.0719","1580.891","4.0266","1534.6307","18686.1116","385.1288","552.4455","1462.1099","1558.3425","3727.9965","1446.3335"
"SEN","01/11/2019","10","2004.8519","2686.4734","4.0202","1519.1397","18328.449","371.8","546.8898","1678.3214","1558.6725","3689.9957","1498.9024"
"SEN","01/11/2019","11","2119.7029","3209.9072","4.0057","1525.7917","17779.3184","375.4179","550.8715","1949.1083","1558.0919","3639.749","1528.6347"
"SEN","01/11/2019","12","2122.352","3376.5835","3.9811","1526.8903","17755.5335","378.1195","551.0013","2520.0733","1558.0525","3632.8162","1510.6116"
"SEN","01/11/2019","13","2081.079","3341.418","3.9844","1509.8896","18154.05","381.4676","550.0571","2423.1429","1557.4813","3610.5251","1494.6656"
"SEN","01/11/2019","14","2216.6423","3310.0729","3.9818","1507.2321","18708.4701","374.6092","530.8527","2040.9743","1557.7828","3641.1687","1437.4198"
"SEN","01/11/2019","15","2393.1644","3145.4578","3.7553","1441.9456","18622.4185","376.7428","520.8707","2004.5418","1558.6955","3687.2753","1518.1551"
"SEN","01/11/2019","16","2513.4408","2884.3305","3.7367","1459.1756","18681.6471","374.3714","534.4845","1720.6003","1559.4348","3670.2679","1642.4385"
"SEN","01/11/2019","17","2646.1423","2277.8786","3.9592","1514.5156","19052.8569","374.7864","544.3884","1917.8978","1559.8339","3642.4182","1571.3969"
"SEN","01/11/2019","18","2769.428","768.8564","3.9621","1516.0783","19376.8521","369.9919","545.7437","2363.2985","1559.4389","4200.266","1530.1664"
"SEN","01/11/2019","19","2762.8572","22.0547","3.9637","1742.9344","19836.9239","376.643","548.4904","2769.0652","1559.3979","4600.6885","1523.434"
"SEN","01/11/2019","20","2871.09","0","3.8548","1637.4176","19813.383","377.8234","549.8262","2805.8783","1559.5738","4538.3804","1673.5748"
"SEN","01/11/2019","21","2911.7826","0","3.0565","1509.5455","19483.5182","386.7505","551.2024","2861.4381","1559.1862","3901.3947","1786.0155"
"SEN","01/11/2019","22","2791.789","0","3.4047","1509.6502","18652.772","387.9113","552.4079","2805.4812","1559.1614","3825.9825","1685.5311"
"SEN","01/11/2019","23","2728.3073","0","3.9686","1501.2163","18153.0674","385.0586","552.6427","2779.5373","1557.7962","3575.8572","1592.9256"
"SEN","01/11/2019","24","2705.0105","0","3.9694","1500.7112","17960.1463","385.9193","550.9548","2480.0589","1557.8218","3332.296","1555.3466"
"SEN","02/11/2019","1","2567.2546","0","3.9703","1490.0056","17755.6589","387.0178","552.5599","1714.3698","1557.6422","3299.3543","1376.2845"
"SEN","02/11/2019","2","2391.5769","0","3.97","1507.9086","17207.867","386.5992","553.0495","1265.875","1557.4028","3338.824","1394.2202"
"SEN","02/11/2019","3","2235.4366","0","3.9705","1511.1853","16787.7715","386.5142","552.6362","1067.8537","1557.2226","3329.257","1385.8934"
"SEN","02/11/2019","4","2177.6986","0","3.9712","1423.8987","16604.6673","385.0001","552.8113","916.7387","1556.9232","3300.2864","1376.3162"
"SEN","02/11/2019","5","2198.3082","0","3.9707","1271.4572","16471.6515","386.9244","553.2435","1005.032","1556.5564","3357.9266","1370.3284"
"SEN","02/11/2019","6","2360.1048","0","3.9702","1164.8371","16409.0423","388.2549","553.5242","999.7049","1556.0133","3330.7923","1371.9054"
"SEN","02/11/2019","7","2640.3067","2.4352","3.9706","1165.5093","16519.2624","388.8734","553.7501","1095.7043","1556.0864","3256.8803","1334.3123"
"SEN","02/11/2019","8","2657.4327","353.5668","3.9698","1183.7572","16552.5879","387.5404","552.9636","1067.9018","1554.9079","3303.3753","1342.7055"
"SEN","02/11/2019","9","2589.3508","1426.4","3.9646","1178.0821","16360.7223","386.9118","552.2534","1367.9736","1553.8777","3264.7683","1368.1063"
"SEN","02/11/2019","10","2754.2302","2530.7442","3.96","1155.9224","16080.1258","381.244","549.9671","1277.6536","1553.3242","3281.5097","1432.0917"
"SEN","02/11/2019","11","2951.6722","2952.3143","3.9562","1177.7587","15867.3833","386.7556","548.0258","1419.4447","1552.7542","3260.3123","1464.3245"
"SEN","02/11/2019","12","3007.038","3137.5388","3.7538","1139.0116","15798.5306","389.3399","547.6879","1669.1261","1551.8004","3252.3249","1469.5661"
"SEN","02/11/2019","13","3041.9827","3150.3","3.8878","1107.1701","15926.9921","379.5647","548.5853","1776.47","1551.5904","3240.8565","1482.6034"
"SEN","02/11/2019","14","3148.5995","3074.8025","3.9596","1101.1491","15631.8896","376.4599","546.7987","1893.0878","1550.7878","3179.6335","1492.7227"
"SEN","02/11/2019","15","3156.8185","2861.2413","3.9603","1094.1742","15702.443","332.9886","544.7189","2002.4949","1551.047","3200.8278","1498.1367"
"SEN","02/11/2019","16","3149.8035","2594.3263","3.8125","1091.3629","15667.7451","333.1995","546.4626","1708.007","1550.9623","3161.4942","1516.6856"
"SEN","02/11/2019","17","3169.9402","2047.654","3.9647","1085.0514","16084.1756","385.4452","548.303","2010.6783","1551.3581","3225.8666","1497.5426"
"SEN","02/11/2019","18","3159.6794","655.0445","3.968","1085.5785","17827.9196","386.6281","549.7472","2039.2694","1552.6242","3407.7495","1520.0776"
"SEN","02/11/2019","19","3171.5532","20.7316","3.9681","1300.7698","18705.2937","386.9805","549.881","2384.819","1552.3791","4339.1761","1546.7505"
"SEN","02/11/2019","20","3264.8132","0","3.9687","1154.2765","18375.486","387.1197","550.6104","2583.3273","1552.5787","4169.7101","1499.97"
"SEN","02/11/2019","21","3382.5905","0","3.9693","1075.3395","17723.476","387.441","551.9348","2726.3483","1552.7019","3927.6806","1418.7302"
"SEN","02/11/2019","22","3252.6746","0","3.9694","1100.3817","17265.2268","390.6409","552.3556","2836.3086","1553.2389","3888.7999","1394.6353"
"SEN","02/11/2019","23","2822.8339","0","3.97","1095.5552","17116.6046","390.5096","551.7837","2852.306","1554.3776","3767.5655","1427.3872"
"SEN","02/11/2019","24","2617.5039","0","3.9695","1092.9051","16900.2181","389.6517","551.7673","2238.6072","1554.9507","3618.0623","1379.2658"
"SEN","03/11/2019","1","2607.8623","0","3.9702","1098.1671","16424.0108","388.6371","552.0729","1369.9097","1554.9205","3499.1438","1336.1541"
"SEN","03/11/2019","2","2466.586","0","3.9711","1099.9615","15776.2463","389.0526","551.9158","1169.5206","1555.3741","3269.1355","1330.4737"
"SEN","03/11/2019","3","2346.5456","0","3.9716","1097.8853","15134.6882","389.152","552.1786","1191.3356","1555.7692","3186.2153","1375.8457"
"SEN","03/11/2019","4","2188.2089","0","3.9713","1097.7268","14790.022","387.7709","552.8437","1172.7943","1555.6435","3116.5576","1377.4926"
"SEN","03/11/2019","5","1960.9846","0","3.9712","1111.688","14563.1497","369.4376","552.955","1514.78","1555.9634","3077.8483","1368.167"
