"Centro Nacional de Control de Energia"
"Estadistica de la Energia Generada Liquidada Agregada (MWh) Intermitente y Firme por Tipo de Tecnologia"
"Sistema Electrico Nacional"
"Dias de Operacion del Mes de: octubre 2019"
"Proceso de Liquidacion: Re-Liquidacion Intermedia (L2) "
"Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 20/feb/2020 05:10:01 hrs."
"Nota: Los acentos de este reporte se omiten intencionalmente por sistema."
"Sistema"," Dia"," Hora"," Eolica"," Fotovoltaica","  Biomasa"," Carboelectrica"," Ciclo Combinado"," Combustion Interna"," Geotermoelectrica"," Hidroelectrica"," Nucleoelectrica"," Termica Convencional"," Turbo Gas"
"SEN","01/10/2019","1","1597.6349","0.0151","4.0835","1926.4998","22338.4807","388.1025","438.9413","1980.8497","1501.759","3802.6091","2053.8193"
"SEN","01/10/2019","2","1768.0267","0","4.084","1731.6396","21598.4807","392.752","439.7014","1603.4941","1516.331","3644.7459","1879.2599"
"SEN","01/10/2019","3","1806.7869","0","4.0835","1884.7242","20992.561","390.6355","464.6996","1420.6164","1522.6016","3363.7075","1721.7906"
"SEN","01/10/2019","4","1724.9723","0","4.0847","1807.9557","20513.451","396.5452","469.6137","1462.6536","1524.3019","3323.4033","1709.3223"
"SEN","01/10/2019","5","1380.3763","0","4.086","1718.4077","20825.5977","392.1558","470.2697","1405.1906","1524.1717","3411.163","1597.5304"
"SEN","01/10/2019","6","1300.071","0","4.0864","1579.0634","21159.4682","399.3453","468.1778","1382.2775","1523.8761","3467.7019","1576.2053"
"SEN","01/10/2019","7","1189.6271","0.2056","4.0859","1784.2485","21912.1474","404.0806","463.2888","1483.4816","1523.4194","3614.4698","1573.2631"
"SEN","01/10/2019","8","1175.1749","30.0398","3.4339","2129.0832","22111.7346","399.9602","458.0061","1634.9546","1521.933","4011.0983","1607.9419"
"SEN","01/10/2019","9","1516.3385","640.291","2.86","2238.3502","22034.0878","399.2689","458.3842","1291.1334","1518.9096","4200.5301","1655.4417"
"SEN","01/10/2019","10","1878.5806","1695.1532","2.7193","2127.8796","21757.272","393.3479","456.4834","1575.7832","1522.3681","4077.0334","1709.0074"
"SEN","01/10/2019","11","2072.5754","2358.4178","1.6051","2072.9848","21724.8878","381.0104","462.1102","1353.4871","1520.1529","4083.6419","1730.4091"
"SEN","01/10/2019","12","2298.9372","2660.7906","1.6021","1901.1681","21694.6634","368.7801","488.9846","1848.4899","1519.2214","4126.5487","1756.1356"
"SEN","01/10/2019","13","2212.9489","2764.5561","2.604","1940.3865","21831.8768","387.0406","489.935","2289.6","1517.2482","3946.566","1699.4459"
"SEN","01/10/2019","14","2152.9446","2849.8696","2.8387","2153.9659","22000.1021","378.6547","493.5337","2448.9918","1516.2714","3728.1648","1763.6798"
"SEN","01/10/2019","15","2343.0033","2727.4136","2.9675","2246.6642","22189.9965","393.0513","492.5622","2470.906","1515.4701","3685.5796","1777.5119"
"SEN","01/10/2019","16","2347.3217","2475.793","2.9686","2312.2752","22364.2748","393.3637","490.644","2789.2031","1515.0671","3788.4019","1790.8698"
"SEN","01/10/2019","17","2427.9769","2484.3702","2.9698","2596.3704","22285.011","391.7783","491.3615","2546.6745","1514.5468","3925.0559","1945.8172"
"SEN","01/10/2019","18","2109.2964","2055.5209","3.1838","2643.5466","22304.7148","393.057","492.4879","2601.4522","1515.1439","4110.6411","1984.2869"
"SEN","01/10/2019","19","1773.7029","1348.2989","3.8326","2662.9543","22617.6933","396.7587","492.1089","2377.3843","1515.737","4253.8088","2043.9328"
"SEN","01/10/2019","20","1820.6153","210.8415","4.0702","2689.2002","22841.5209","398.3854","493.7963","3393.8499","1516.8839","4625.2578","2083.0475"
"SEN","01/10/2019","21","2128.4712","1.347","4.0824","2650.8091","22755.3075","398.0319","495.73","4494.6212","1516.952","4675.6061","2111.8269"
"SEN","01/10/2019","22","2370.8635","0.0022","4.083","2633.4148","22724.4596","398.6153","496.162","3839.6003","1517.3992","4682.5769","2061.118"
"SEN","01/10/2019","23","2218.9382","0.0136","4.0836","2615.1408","22769.7374","396.9326","497.4563","3165.0849","1517.3","4351.3829","2043.4502"
"SEN","01/10/2019","24","2120.193","0.0135","4.0854","2128.8905","22637.9652","396.5382","495.731","2399.972","1516.4112","4028.6759","2005.8487"
"SEN","02/10/2019","1","1945.5052","0.0137","4.087","1893.0806","22107.6497","389.4876","494.4219","1960.8249","1515.5656","3526.8321","1981.2769"
"SEN","02/10/2019","2","1820.7719","0.0133","4.0875","1884.507","21555.6156","385.4988","494.5211","1542.9619","1514.9456","3366.8336","1855.3993"
"SEN","02/10/2019","3","1626.9181","0.0129","4.0877","1889.9067","20958.8513","384.3401","496.8055","1469.8413","1514.1392","3334.9685","1878.197"
"SEN","02/10/2019","4","1451.3112","0.0129","4.0879","1878.1127","20590.6351","389.7485","496.8906","1462.6014","1514.5531","3304.8478","1841.6911"
"SEN","02/10/2019","5","1379.8261","0.013","4.0884","1883.4269","20405.7649","383.9799","498.4773","1417.1425","1514.5923","3345.9376","1841.1084"
"SEN","02/10/2019","6","1525.2679","0.0135","4.0886","1882.2696","20556.7929","386.5124","519.4677","1455.7499","1515.2612","3344.8526","1810.2334"
"SEN","02/10/2019","7","1553.7854","0.2406","4.0919","1890.9086","21402.5858","392.3176","520.8015","1483.8999","1516.2959","3446.984","1865.0105"
"SEN","02/10/2019","8","1372.3157","30.6505","4.0931","2027.3381","21992.272","391.1681","519.7746","2101.1912","1515.7477","3510.3098","1943.3015"
"SEN","02/10/2019","9","1052.8914","576.1389","4.0894","2249.6375","22173.6136","385.0503","516.0367","2222.1089","1514.7645","3698.0565","1968.4367"
"SEN","02/10/2019","10","918.0571","1921.6593","4.0616","2455.0055","22299.3408","384.7871","516.1946","1803.1139","1513.7969","3737.8324","1964.6458"
"SEN","02/10/2019","11","1130.8812","3001.2624","4.0006","2442.7121","22239.9204","380.6097","517.1525","1865.7579","1180.2193","3662.9006","1989.7247"
"SEN","02/10/2019","12","1194.435","3218.5867","4.0741","2612.1439","22324.4091","385.3151","515.8715","2278.5619","752.7773","3851.5002","1969.4736"
"SEN","02/10/2019","13","1409.0368","3272.6296","4.0723","2668.9243","21901.516","379.8873","513.4085","2185.2318","750.052","4477.1433","2194.6147"
"SEN","02/10/2019","14","1520.931","3259.4425","4.0719","2614.8494","22499.6084","386.0283","515.1899","1522.8888","746.7987","4654.2899","2289.9536"
"SEN","02/10/2019","15","1578.9335","3153.8788","4.0735","2581.5584","22597.2383","388.0072","515.572","1892.1474","745.2659","4701.7619","2307.32"
"SEN","02/10/2019","16","1557.8527","3115.8447","4.0727","2587.8884","22444.5094","386.7834","516.0873","2661.8551","743.0846","4705.1137","2319.6175"
"SEN","02/10/2019","17","1498.6781","2896.0071","4.0727","2629.7689","22530.8659","385.2818","515.0278","3091.8366","742.4577","4646.1299","2319.4059"
"SEN","02/10/2019","18","1508.4093","2787.3145","4.0766","2643.7431","22526.5973","382.8174","515.4306","2872.4803","743.0172","4538.5636","2199.5405"
"SEN","02/10/2019","19","1322.2393","1654.0272","4.081","2536.1697","22727.0129","385.6994","516.9467","3625.31","748.631","4257.958","2151.5217"
"SEN","02/10/2019","20","1382.0447","221.04","4.0811","2601.3753","22750.5794","388.3462","515.9093","4965.77","750.6806","4496.9718","2199.298"
"SEN","02/10/2019","21","1301.8298","0.9728","4.082","2682.764","22764.9219","388.0385","514.3044","6147.4052","753.2045","4817.5825","2212.5965"
"SEN","02/10/2019","22","1311.0185","0","4.0832","2717.6461","22817.4519","390.0768","514.1026","5726.1387","753.7437","4800.2351","2195.5679"
"SEN","02/10/2019","23","1393.2661","0","4.0847","2717.2309","22724.458","388.465","514.1048","4713.1331","753.7366","4778.3988","2097.0605"
"SEN","02/10/2019","24","1378.1407","0","4.0863","2712.9397","22680.3175","388.5284","513.2915","3088.2264","754.1814","4740.1339","2028.9937"
"SEN","03/10/2019","1","1384.2086","0","4.0877","2537.6682","22784.2031","388.4313","512.8383","1424.0555","754.4432","4364.7528","2013.5183"
"SEN","03/10/2019","2","1329.4588","0","4.0881","2143.925","22636.1738","387.2737","522.6843","1307.0501","754.7789","3739.2962","1995.8644"
"SEN","03/10/2019","3","1204.318","0","4.0881","1874.7535","22181.76","384.1945","538.7505","1305.9229","755.3418","3760.7748","1882.7568"
"SEN","03/10/2019","4","1065.5509","0","4.0892","1834.3861","21785.5676","387.7901","538.8419","1507.1597","755.5753","3746.5622","1858.5018"
"SEN","03/10/2019","5","979.1121","0","4.0894","1833.1766","21833.3541","387.9167","538.1603","1182.3495","755.568","3640.1167","1851.678"
"SEN","03/10/2019","6","779.0376","0","4.0913","1835.6793","22140.8073","389.0665","538.9122","1264.7449","755.867","3650.5669","1907.0943"
"SEN","03/10/2019","7","773.0828","0.1972","4.0917","2131.9165","22595.3582","390.998","539.2523","1675.491","756.3109","3615.3287","2001.3942"
"SEN","03/10/2019","8","804.963","28.8968","4.0923","2642.4168","22752.6123","389.4036","540.3058","1799.5891","756.4442","3742.7065","2059.8937"
"SEN","03/10/2019","9","725.1247","588.3665","4.0647","2830.4792","22889.4798","388.2141","540.5677","1492.0682","756.2508","4261.3717","2056.8998"
"SEN","03/10/2019","10","764.1657","1979.9444","4.0451","2468.7108","22692.2637","385.1163","538.9755","1311.0547","756.0748","4625.5234","2036.6018"
"SEN","03/10/2019","11","889.7481","2708.698","4.0614","2450.584","22579.7859","379.7748","535.6179","1750.0937","755.9745","4598.4552","2075.0008"
"SEN","03/10/2019","12","987.8285","2956.8826","4.0583","2440.3253","22352.5168","384.7276","534.3615","1686.8193","754.9349","4623.8378","2391.5733"
"SEN","03/10/2019","13","1047.9123","3047.7174","4.0554","2460.742","22543.4923","386.9883","527.3247","1694.738","754.435","4608.5505","2515.249"
"SEN","03/10/2019","14","1120.7696","3031.6479","4.0548","2471.3251","22482.318","385.3217","525.956","1934.207","753.6618","4681.2828","2540.5855"
"SEN","03/10/2019","15","1314.8655","3015.0488","4.0073","2485.105","22613.6277","385.8674","525.0895","1889.9526","753.2955","4760.2668","2536.0976"
"SEN","03/10/2019","16","1364.9045","2810.6647","4.0068","2482.3984","22718.8215","390.3933","528.3516","2341.8782","753.1938","4792.5969","2550.6286"
"SEN","03/10/2019","17","1252.4531","2657.5749","3.2112","2489.0994","22776.5359","386.6396","533.9783","3011.1146","753.4039","4878.6147","2563.0727"
"SEN","03/10/2019","18","1112.0654","2068.1481","3.2472","2479.0574","22735.4861","386.1883","534.5051","3056.2931","753.698","4899.5702","2609.6937"
"SEN","03/10/2019","19","934.1427","1408.4295","3.5311","2483.3641","22723.3769","389.8457","539.7038","2884.7936","754.1524","4896.5272","2715.3568"
"SEN","03/10/2019","20","902.8675","198.1436","4.0334","2484.6834","22767.0018","389.2783","558.3007","4449.4206","754.9105","4923.4057","2719.0067"
"SEN","03/10/2019","21","1067.8083","0.859","4.0336","2465.8249","22690.8515","389.7652","558.9623","5389.4821","754.7317","4943.5103","2776.5475"
"SEN","03/10/2019","22","1256.1205","0.012","4.0356","2464.5357","22797.5984","392.0398","559.4432","4654.9489","754.8742","4931.1616","2782.2377"
"SEN","03/10/2019","23","1166.3822","0.012","4.0367","2483.9316","22936.5614","393.9098","560.3069","3800.143","755.5221","4973.7423","2650.8262"
"SEN","03/10/2019","24","1043.7664","0.0158","4.0381","2475.8538","22992.6447","378.4953","558.96","2609.6159","755.7307","4912.4623","2553.3669"
"SEN","04/10/2019","1","1082.8115","0.0259","4.0393","2441.8664","22804.9542","370.1335","559.7469","1563.6349","755.9983","4407.1771","2261.2872"
"SEN","04/10/2019","2","984.5231","0.0257","4.0403","2163.9778","22671.1309","370.7428","560.452","1380.7932","756.0717","3984.4325","2137.7999"
"SEN","04/10/2019","3","1024.9812","0.0254","4.0423","2013.4911","22483.837","361.5144","565.1813","929.5307","756.318","3859.6794","2055.9239"
"SEN","04/10/2019","4","966.0203","0.0255","4.0441","1892.4663","22199.4262","354.5809","565.1482","955.8477","756.3338","3749.9539","1972.9079"
"SEN","04/10/2019","5","853.5317","0.0135","4.0441","1687.4431","22156.458","366.9033","566.3503","1290.4309","756.3817","3684.6132","1939.1953"
"SEN","04/10/2019","6","794.6672","0.012","4.0443","1911.0152","22434.5341","371.9026","566.2052","1013.0492","756.4316","3803.8953","1985.1543"
"SEN","04/10/2019","7","835.1643","0.1633","4.0437","2374.0241","22487.0689","374.2834","567.1349","1022.0581","756.4159","3933.7466","2068.4409"
"SEN","04/10/2019","8","666.7834","29.384","4.0446","2478.0285","22613.5161","370.9724","567.5338","1402.7206","756.4811","4429.9902","2081.532"
"SEN","04/10/2019","9","525.8409","672.8258","3.5299","2482.1984","22740.1007","364.614","564.152","1513.8027","756.5414","4812.1511","2106.3567"
"SEN","04/10/2019","10","580.4282","1899.0339","2.4153","2485.4029","22707.3733","363.9206","520.0421","1726.8614","756.4959","4804.7477","2303.9241"
"SEN","04/10/2019","11","675.4706","2741.2407","3.1488","2468.0367","22698.1688","365.4708","514.9348","1205.0958","756.2227","4799.069","2551.043"
"SEN","04/10/2019","12","663.178","3101.4045","3.3579","2484.3874","22964.5867","366.7718","517.2998","1403.7583","755.5497","4820.8765","2565.2824"
"SEN","04/10/2019","13","769.86","3196.4495","4.025","2492.7009","22994.2051","368.5383","520.4908","1791.5743","754.9507","4839.6329","2612.2982"
"SEN","04/10/2019","14","783.5839","3161.9742","4.0259","2481.0052","23073.871","366.5436","523.1781","1892.7484","754.4018","4868.0464","2738.3942"
"SEN","04/10/2019","15","798.5288","3012.5471","4.0268","2496.3598","22947.5987","366.0891","524.775","2316.7708","753.6811","4928.1704","2750.735"
"SEN","04/10/2019","16","759.6706","2833.0182","4.0517","2474.8743","22893.9404","364.3485","525.0052","2674.3847","753.3858","4916.9376","2758.5662"
"SEN","04/10/2019","17","869.2484","2746.6316","4.0758","2476.7602","23244.5276","364.3936","527.1904","2296.2172","753.7689","4971.3627","2764.5671"
"SEN","04/10/2019","18","838.8094","2432.3778","4.0779","2468.0433","23263.0008","364.3521","528.5448","2082.3125","754.2538","4938.6969","2758.3755"
"SEN","04/10/2019","19","893.3043","1474.641","4.0806","2484.1513","23512.6537","367.0034","528.1767","1694.3689","754.8857","4975.1696","2758.9919"
"SEN","04/10/2019","20","814.5631","190.3656","4.0804","2468.9485","23580.1378","361.7087","529.1841","3327.2534","755.4332","5006.0997","2774.9766"
"SEN","04/10/2019","21","686.9199","0.4754","4.0807","2386.1866","23506.6653","391.3185","530.7921","4873.6687","755.9318","4991.6632","2756.5279"
"SEN","04/10/2019","22","744.9733","0","4.0829","2386.678","23475.4813","399.6794","559.5518","4406.4197","756.2393","4947.9531","2725.1559"
"SEN","04/10/2019","23","751.4005","0","3.9811","2383.0561","23420.0943","399.7097","567.3935","3760.5897","756.5008","4910.2058","2652.4375"
"SEN","04/10/2019","24","767.3872","0","4.0859","2385.5109","23320.9608","402.1702","566.6273","2881.7146","756.4845","4892.5206","2627.9476"
"SEN","05/10/2019","1","772.1583","0","4.0874","2230.0709","22833.4065","397.8755","567.4707","1435.4796","756.7836","4883.2581","2548.2687"
"SEN","05/10/2019","2","697.9573","0","4.0878","2208.1738","22468.3971","396.3652","567.3213","1076.0798","757.0481","4817.9391","2279.3688"
"SEN","05/10/2019","3","704.07","0","4.0894","2184.5831","22304.5176","394.5661","566.2418","910.4883","756.9299","4253.3384","2119.0139"
"SEN","05/10/2019","4","709.4972","0","4.0893","1851.1137","22408.4347","395.0926","566.896","1115.6568","757.3429","4034.1859","1986.1062"
"SEN","05/10/2019","5","626.7758","0","4.0886","1813.8873","22328.5689","393.6025","565.8679","894.1629","756.9989","3879.6542","1827.4123"
"SEN","05/10/2019","6","614.8933","0","4.0891","1808.5719","22281.3978","394.863","566.144","992.6503","756.187","3847.851","1820.8336"
"SEN","05/10/2019","7","513.847","0.1345","4.0911","1800.0151","22501.7815","398.1563","567.3007","1131.0368","756.3418","3817.0519","1865.6457"
"SEN","05/10/2019","8","490.0435","30.4192","4.0929","1816.4836","22807.4783","397.3785","566.501","1282.086","756.4922","3809.7942","1883.6912"
"SEN","05/10/2019","9","447.9569","741.2634","4.0902","2126.434","22729.5127","396.8482","561.1323","1122.2385","756.3161","3763.3148","1934.3555"
"SEN","05/10/2019","10","484.9258","2311.3208","4.0819","2213.2439","22106.0397","396.1681","562.2896","849.8405","756.2239","4203.029","2002.033"
"SEN","05/10/2019","11","568.1888","3111.1052","4.078","2228.1251","22054.4192","379.5386","562.2569","983.8932","755.3759","4201.4104","2020.3887"
"SEN","05/10/2019","12","667.1466","3307.8674","3.9561","2208.7907","22219.7212","370.2784","561.5694","1316.7281","754.7787","4141.9215","2021.3583"
"SEN","05/10/2019","13","777.5871","3328.8091","3.6293","2000.0274","22563.7902","370.9585","567.5656","1419.5823","753.797","4222.2829","2039.6637"
"SEN","05/10/2019","14","829.1449","3276.5568","4.0371","1938.8742","22655.6671","369.368","566.2582","1621.0898","753.0839","4289.0672","2028.7291"
"SEN","05/10/2019","15","725.0266","3137.7746","4.037","1865.8336","22930.9207","371.7106","566.9113","1565.2666","752.4402","4409.6712","2035.3252"
"SEN","05/10/2019","16","676.5502","3151.2284","4.0374","1852.0556","22945.7861","374.0966","566.1256","1526.8583","751.9767","4408.9874","2063.9582"
"SEN","05/10/2019","17","846.0522","3035.3818","4.0403","1852.0234","22790.9136","372.5661","568.2531","1544.9837","751.9258","4416.469","2061.6828"
"SEN","05/10/2019","18","724.4701","2611.4564","4.0416","1825.3691","22969.5213","374.7466","567.9573","1802.2765","752.0438","4457.515","2074.844"
"SEN","05/10/2019","19","838.5841","1614.1972","4.0456","1894.8653","23164.6024","375.5683","568.0781","1887.731","752.5488","4615.8574","2141.2638"
"SEN","05/10/2019","20","1297.8185","191.319","4.0462","2199.2291","23225.1232","377.9576","566.749","3285.6989","753.1947","4843.3363","2487.2176"
"SEN","05/10/2019","21","1281.3893","0.3519","4.0791","2213.1585","23236.3707","373.1968","567.4468","4539.1831","755.7772","4824.2798","2630.0991"
"SEN","05/10/2019","22","1047.3904","0","4.0834","2176.9905","23278.026","360.8175","568.0985","3985.7825","756.8754","4826.8568","2605.0872"
"SEN","05/10/2019","23","819.7265","0","4.0832","2097.8152","23081.4185","357.9004","568.376","3445.3053","763.5066","4776.5004","2548.8191"
"SEN","05/10/2019","24","842.8666","0","4.0744","1985.0756","23026.0441","345.8512","568.1507","2318.2082","818.1808","4221.4996","2361.4084"
"SEN","06/10/2019","1","722.9117","0","4.0758","1732.2805","23036.3409","345.3178","569.3781","1610.5452","831.8877","3806.4668","2264.7634"
"SEN","06/10/2019","2","627.1376","0","4.0797","1614.0731","22856.0752","346.8561","570.5755","1163.993","851.3883","3740.9905","2004.2569"
"SEN","06/10/2019","3","554.7602","0","4.0802","1568.6442","22246.2197","349.9789","571.1883","1066.6007","891.6904","3677.9597","1675.6707"
"SEN","06/10/2019","4","426.4314","0","4.0807","1524.1983","21796.532","351.1552","570.9794","1059.6179","952.2364","3684.9061","1574.6322"
"SEN","06/10/2019","5","316.2607","0","4.0806","1519.6915","21655.3707","354.3901","572.7411","821.629","976.6399","3585.7575","1560.2134"
"SEN","06/10/2019","6","254.7561","0","4.0815","1510.6433","21494.1545","354.3294","558.8226","542.0231","1062.2192","3637.2035","1557.0456"
"SEN","06/10/2019","7","229.0792","0.1775","4.0816","1530.3659","20524.144","356.0385","550.2092","1335.7343","1128.1448","3506.8679","1550.0198"
"SEN","06/10/2019","8","252.2026","27.6439","4.0825","1548.9302","20599.3865","356.4694","548.9681","1041.5954","1210.4171","3481.3196","1540.6319"
"SEN","06/10/2019","9","233.8324","730.6974","3.741","1591.7849","20453.4459","348.8062","548.2927","478.3712","1221.5398","3400.5907","1538.2712"
"SEN","06/10/2019","10","151.5226","2255.3091","3.2488","1631.7197","19872.5432","345.617","546.5745","570.0313","1237.0871","3321.5924","1598.0789"
"SEN","06/10/2019","11","155.8829","3082.4832","3.56","1649.5229","19163.3912","346.0187","544.9306","853.5173","1231.2805","3528.9981","1667.9638"
"SEN","06/10/2019","12","223.4846","3293.4427","4.0752","1655.144","19144.1627","343.5192","543.9075","968.7225","1231.119","3654.7373","1707.6657"
"SEN","06/10/2019","13","415.6058","3330.8739","4.0179","1662.9556","19430.1028","343.8466","542.5619","944.6125","1233.9886","3656.4357","1713.684"
"SEN","06/10/2019","14","423.8491","3165.0772","3.9939","1654.8183","20208.9119","346.0971","542.1635","837.5876","1279.8855","3666.2707","1791.9453"
"SEN","06/10/2019","15","572.713","3085.3169","3.9938","1636.3576","20376.4303","347.0997","541.2545","887.9323","1315.6315","3648.0682","1837.4616"
"SEN","06/10/2019","16","699.5222","3105.781","3.9954","1641.0235","20144.6952","346.4701","541.7017","929.9183","1317.8114","3666.0258","1888.2682"
"SEN","06/10/2019","17","684.7003","2973.8458","3.9958","1635.9437","20250.1911","342.9796","542.3048","1482.1889","1344.9148","3660.1418","1808.1988"
"SEN","06/10/2019","18","598.8016","2632.7058","3.9982","1626.9585","20479.0955","356.6916","541.4844","1611.031","1401.8624","3612.1293","1918.9145"
"SEN","06/10/2019","19","569.5878","1595.5951","4.0017","1666.6569","21328.865","355.7924","542.0393","1579.3629","1431.3733","3657.943","2082.1576"
"SEN","06/10/2019","20","905.4288","167.5818","4.0024","1978.9314","22720.8501","353.4639","542.2825","2345.0764","1451.4645","4133.3736","2152.3517"
"SEN","06/10/2019","21","1052.1363","0.2333","4.0034","2462.0788","22850.9878","374.4842","545.1765","3191.4509","1454.7092","4471.0975","2562.0268"
"SEN","06/10/2019","22","1035.3317","0","4.0055","2382.8823","22742.9576","364.7277","546.3937","3442.0436","1448.1343","4395.655","2685.7184"
"SEN","06/10/2019","23","1008.6564","0","4.0067","1950.5357","22668.886","370.6903","543.7034","3235.7992","1440.6587","3941.9467","2635.4611"
"SEN","06/10/2019","24","944.0123","0","4.008","1712.7989","22602.1247","374.8876","543.5573","2309.525","1433.8568","3582.0296","2585.7162"
"SEN","07/10/2019","1","982.8445","0","4.0098","1712.4773","22553.7137","372.3824","522.2754","856.8322","1427.0357","3583.7802","2257.1103"
"SEN","07/10/2019","2","894.914","0","4.0109","1727.4365","21962.2139","371.553","522.4008","837.6966","1420.5416","3503.3683","1895.1764"
"SEN","07/10/2019","3","746.8065","0","4.0119","1711.7626","21583.6011","371.3504","523.7882","678.4862","1414.6161","3362.3141","1654.9748"
"SEN","07/10/2019","4","706.8484","0","4.0121","1702.8357","21288.9885","368.0459","524.1547","552.0515","1408.7668","3423.9229","1527.9347"
"SEN","07/10/2019","5","710.9837","0","4.0135","1714.6426","21100.6757","371.0397","522.4979","556.7891","1403.6982","3431.38","1516.2417"
"SEN","07/10/2019","6","810.7524","0","3.3749","1731.5575","21380.7783","372.2801","516.1888","493.234","1398.6676","3558.1912","1549.1973"
"SEN","07/10/2019","7","788.1615","0.1105","3.9931","1736.1689","22282.8624","373.3853","524.8219","1098.8864","1393.5015","3744.6317","1852.3306"
"SEN","07/10/2019","8","985.2724","23.2135","4.0136","2070.283","22766.9482","370.1848","524.5869","1198.1108","1390.0641","3923.471","1956.8989"
"SEN","07/10/2019","9","1562.5923","588.8482","4.0116","2129.9642","23021.1417","366.2122","521.6962","618.5741","1386.3203","3918.796","2062.778"
"SEN","07/10/2019","10","1153.5084","1949.6911","4.0065","1890.235","23044.8266","364.4847","518.1712","1174.3885","1383.3499","3947.5244","2106.3324"
"SEN","07/10/2019","11","707.5248","2831.5219","3.832","2137.1327","23057.4197","364.2165","518.0803","1451.4469","1381.2129","4204.0078","2141.2962"
