"Centro Nacional de Control de Energia"
"Estadistica de la Energia Generada Liquidada Agregada (MWh) Intermitente y Firme por Tipo de Tecnologia"
"Sistema Electrico Nacional"
"Dias de Operacion del Mes de: septiembre 2019"
"Proceso de Liquidacion: Re-Liquidacion Intermedia (L2) "
"Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 20/ene/2020 05:10:01 hrs."
"Nota: Los acentos de este reporte se omiten intencionalmente por sistema."
"Sistema"," Dia"," Hora"," Eolica"," Fotovoltaica","  Biomasa"," Carboelectrica"," Ciclo Combinado"," Combustion Interna"," Geotermoelectrica"," Hidroelectrica"," Nucleoelectrica"," Termica Convencional"," Turbo Gas"
"SEN","01/09/2019","1","1469.4941","0.0546","4.0164","3101.9046","21093.3397","403.527","528.3001","2363.537","1432.0012","5556.4685","2234.3784"
"SEN","01/09/2019","2","1361.5931","0.0728","3.7908","3183.6666","21038.5876","395.5486","527.7766","1222.2657","1431.0311","5472.3739","2216.7653"
"SEN","01/09/2019","3","1420.6262","0.0733","4.0186","3310.0343","20999.1874","370.8702","529.3113","849.3858","1430.2641","4747.0511","2089.7464"
"SEN","01/09/2019","4","1472.8191","0.0726","4.0186","3252.5863","20994.5247","370.8879","527.9449","808.9384","1429.9016","4196.1993","1851.9363"
"SEN","01/09/2019","5","1212.5298","0.0724","4.0195","3204.1","20983.9145","370.8418","522.1308","833.1853","1429.1708","3913.5374","1661.3023"
"SEN","01/09/2019","6","1146.8429","0.0724","4.0193","3095.6519","20454.187","371.0922","533.6322","821.9014","1429.0349","3932.1438","1593.9503"
"SEN","01/09/2019","7","1030.1157","0.7763","4.0192","2626.3045","20275.5391","371.3747","534.3799","1378.9044","1429.0665","3880.3619","1580.5123"
"SEN","01/09/2019","8","997.0405","49.3508","4.0203","2424.9996","19906.8316","385.561","533.5041","1288.6278","1428.4975","3850.2362","1530.7795"
"SEN","01/09/2019","9","829.3831","781.9126","4.0198","2380.662","19833.0415","398.8924","533.5862","1248.5832","1412.7394","3816.0317","1524.7122"
"SEN","01/09/2019","10","883.6652","1922.2046","4.0152","2362.4726","19582.4921","405.6282","530.6817","1030.5504","1463.0789","3760.1946","1614.3382"
"SEN","01/09/2019","11","1026.5136","2428.9688","4.0062","2376.3085","19786.865","406.0152","527.2256","1142.2869","1484.8336","3762.3055","1614.4044"
"SEN","01/09/2019","12","1120.4264","2655.2624","4.0011","2437.5235","19464.8432","406.5993","531.5789","1533.4317","1507.9352","3857.7877","1606.1664"
"SEN","01/09/2019","13","1216.2026","2706.8283","3.9967","2563.8211","19692.7641","404.9584","548.7803","1372.7768","1514.6981","3923.7722","1625.8935"
"SEN","01/09/2019","14","1508.2208","2823.3158","3.9654","2539.3733","19857.9862","406.5972","550.052","1468.5756","1523.2545","3954.5579","1656.8561"
"SEN","01/09/2019","15","1881.7238","2686.0225","3.9448","2515.6863","19787.6975","401.1697","550.914","1691.3806","1522.3146","3991.8016","1659.3014"
"SEN","01/09/2019","16","1936.813","2338.9635","3.9475","2491.509","20036.2217","403.7958","551.9985","1947.3704","1521.7909","3993.1814","1670.7803"
"SEN","01/09/2019","17","2019.2726","2188.3266","3.9525","2467.2974","20423.0816","400.5508","549.9567","1908.7425","1520.6896","3913.6723","1681.4924"
"SEN","01/09/2019","18","2014.2898","1985.272","3.958","2543.4225","20688.43","400.461","546.1802","1717.8951","1520.5681","3944.7344","1739.1434"
"SEN","01/09/2019","19","1882.9085","1427.724","3.9587","2696.4418","20897.6093","402.1022","548.1332","1689.9319","1520.7016","4073.3242","1869.5082"
